380ae239c846fa328710f176f2b4dcbd66ac709ff19a59ed641e1276eb0598fe,5bfbed04ba2f51faf40796934f0d26fcbd947e043a6b695f42dd0d76e955dbdb,919f37195745ce076d9369c5e2bf01b7306167db735fe6258d94b3289ac91f9c,997132de8c7030aa5e7fe088d7c5e0417f6abe1694d3f4467f9fad1ec88f0987
"1004601","1","5046601","1004601"
"1004801","1","5048007","1004801"
"1004802","2","1004801","1004802"
"1005601","1","5056601","1005601"
"1006101","1","5061601","1006101"
"1006102","3","5061602","1006102"
"1006103","1","5061601","1006103"
"1006601","4","5027704","1006601"
"1007001","5","0","1007001"
"1007301","1","5046601","1007301"
"1007501","1","5048007","1007501"
"1007502","2","1004801","1007502"
"1008201","6","0","1008201"
"1008301","1","5056601","1008301"
"1008901","1","5061601","1008901"
"1008902","3","5061602","1008902"
"1008903","1","5061601","1008903"
"1009201","3","5092601","1009201"
"1010001","3","5100601","1010001"
"1010201","3","5100601","1010201"
"1010901","6","0","1010901"
"1011901","3","5092601","1011901"
"1012701","3","5100601","1012701"
"2003201","1","5056601","2003201"
