c38cf3cb468d803754c423817988272046f42c80d0acd3eb7891c4584da137d8,3bac65c3bbf62f31a7921bd49a837cbde82e2b82cc2ab395e0eb6e72a5bc6d9e,62682df846f09a8cba10611a2652de4bc8d86c62aa1a21a5535499f3237e4da3,01690e21708cd4d54933209364b52ba6d19cfc564b690286e11c188056f1380d,b0e7b8ee2beab0b71cbd5bd1d91bd51eff0eb3010ed447d3d9bb4994e6cd45b5,f55cf4769ae249ff2684475909d41302c73539a1db9a4d92d088eff6f14a1d86,4fd4875076cd5531c004c124a757d29dd192a5b3add2f55c848237c24538be2f,0e344bc82f694e0056cefaef7d5dddc0bab8f4971b8f098d842952283987866c,34c142fb92bf1ec3e1e3eb07c77a5a7bf9528f4e6f798115f2c83939cf2686d4,caef29b5e066f47442eb218c5d5c35afc7a285f6ce2487ee95bfd97568c5fb3d,13ce4c2a0e0ff997e584ed152f16a00a04a4b13a2763fa4e09e4a9f7a7f99cf4,5be0c84868048e86bd63a87ceac11e4604ecc2310f01142158ef2995b1ca37c9,031a1953685228fdfc7c6603c7885b90c6cf0a4fb9c59e5a543f37bdb64a0213,4352f2f1372bc2c15fe19376f33dce23fbd66c42f2cb28b0f7b9b746964ed5c5,a9c02fcb96145ca331e2042638a4254ae61b96ddd973f6a0e0311608be33020a,2ce18397354524afcc6ad2c795593cd72b956eb459daf472eb780b5a6d284ef6,f4bed9f0a5fd4d51d075b0946383e4ce1ea44e6830288cf20f6ba4c7787d1ced,6b10bff559acd9bb49e7ecda091debbe2e4d945636c9a9aa547e0fa4d235ae77
"0","8","0","0","0","0","0","10000","0","0","500","1","0","0","0","91002","1","0"
"0","8","0","0","0","0","0","10000","0","0","400","2","0","0","0","91002","2","0"
"0","8","0","0","0","0","0","10000","0","0","300","3","0","0","0","91002","3","0"
"0","8","0","0","0","0","0","10000","0","0","250","4","0","0","0","91002","4","0"
"0","8","0","0","0","0","0","10001","0","0","500","1","0","0","0","91002","5","0"
"0","8","0","0","0","0","0","10001","0","0","400","2","0","0","0","91002","6","0"
"0","8","0","0","0","0","0","10001","0","0","300","3","0","0","0","91002","7","0"
"0","8","0","0","0","0","0","10001","0","0","250","4","0","0","0","91002","8","0"
"0","8","0","0","0","0","0","10002","0","0","500","1","0","0","0","91002","9","0"
"0","8","0","0","0","0","0","10002","0","0","400","2","0","0","0","91002","10","0"
"0","8","0","0","0","0","0","10002","0","0","300","3","0","0","0","91002","11","0"
"0","8","0","0","0","0","0","10002","0","0","250","4","0","0","0","91002","12","0"
"0","8","0","0","0","0","0","10003","0","0","500","1","0","0","0","91002","13","0"
"0","8","0","0","0","0","0","10003","0","0","400","2","0","0","0","91002","14","0"
"0","8","0","0","0","0","0","10003","0","0","300","3","0","0","0","91002","15","0"
"0","8","0","0","0","0","0","10003","0","0","250","4","0","0","0","91002","16","0"
"0","8","0","0","0","0","0","10004","0","0","500","1","0","0","0","91002","17","0"
"0","8","0","0","0","0","0","10004","0","0","400","2","0","0","0","91002","18","0"
"0","8","0","0","0","0","0","10004","0","0","300","3","0","0","0","91002","19","0"
"0","8","0","0","0","0","0","10004","0","0","250","4","0","0","0","91002","20","0"
