d38122b51936ec2bc0679d0d47fea1638b83aa0259ecc1d4deb3ebad19d64dca,83cba03e9b5b19d4e9feafd34f8d5adb85f56a959a4fa737ac1a622b6f1a6cf2,49fbf8b2dc13d52a982b19909806deb1e590381cc72cfe6d50c2809bce08a839,b6013e9ca965604a49ddb3178b8fcdc82de7bb4037c5aaaa8c42a231966c89c1,beb2b832a5ccb2d2b5506cd7b5fbf6c2a347ef1fcb398c2b8c64686c35390342,6ab05eb9db0b14534763aea4cf5ef5db6d04b68e2d8f34acb328be991c15ac1a,f2caabacb9f35e460c2db7d2db42872e62744f3f7d038eb8df276520f2d99770,9780aaf9fa5b912cb887b352553bb74059d66ff8c1d6a5fdc9b13458487a9a5c,5e08b47f6db4ef3b789fc8e017a8b488e17687fe465775a575b0975c8c653cf2,83af3620b18c32e764a494a9da98dc3c1e33fc18c04994473b7346b9e5874d5d,581c9a6cfa422554cf2e2e712b3bf5430b11f6f7aeb6891698f5a35d1fcc8c6c,06335bd9abdcfea636729561fdf78cc34e03de84313abb1d7baacfb249197ac6,d6b7336467ae8770b2fe27d3b7aaba5a82bd38d8432aa062829bd828147e2843,94239a15daae319a0df3a804b822a3d239da375ee406b07a26d887d08cac1d23,85d9002353707ad2044d92184daa6ac7030338eb1ee8ab63893e1b5f9f80cd0d,280b1a93c5e8ffe4353a3599302e6c2b201a3dd390e2237ee94f182d382b9883,bd7add4ac426cd17ed10e7df1697350bc5393e514e12ed33f2ceb676638ec62a,d9637f4f4326e6855633f6762dc9ad62975a435d0d24533f098bd2dd1d0b79d5,d851ebf531003cba977911f9103201c41d89745c28a1e617522e0f73c8b268bd,23cf3c4184d3fc375a070608d4e358af6ace574eca0c5e82ac3a1899b822f2ac,35491dbf79bebd26981a272fc30ad7a10d716faf19e8da86ef1931ad2380bb98,2c86fb7e8ac95151b8b6a9474fb5d253fdb95baff946296f875b683236771f4d,a6d26e640c95d5d77f3cd22369d9ddefadf5c8cd29bf4f07c911e9fe03da182b,80962d5883cdd61f112b292b0fa1d611c65d0a442e6bb61fbfadf8bb2cc2ed9f,0aa2cef7325c7de69356c3f019b87371b5725d2d3c561dfe874d97fd9f7a65c9,1da78c9677096775e58bc26f15e94bfaf23a6e21ff68f4a93e444dedcc094c78,b6aa4e4e6d0ea8a83e249a39d7b968ce607f157d2b671b71ec6ee9377bca2ff2
"2","","","129001","1","4","0","4","0","0","","192501","1","","","106901","","","","","3","","","3","","","2"
"","","","129001","2","2","","4","0","2","","192501","0","","","106901","","","","","2","","","2","","",""
"1","","","129001","3","4","0","4","0","0","0","192501","1","","3","106901","","","","","4","2","","3","","","2"
"","","","129001","4","2","","4","0","1","","192501","0","","","106901","","","","","2","","","1","","",""
"","","","129001","5","2","","4","0","1","","192501","0","","","106901","","","","","2","","190901","1","","",""
"","","","129001","6","2","","4","0","1","","190901","0","","","106901","","","","","2","","192501","1","","",""
"","","","129001","7","2","","4","0","1","","","0","","","106901","","118401","","","2","","118301","1","","",""
"","","","129001","8","2","","4","0","2","","","0","","","106901","","118401","","","2","","118301","2","","",""
"2","120601","","129001","9","4","0","4","0","0","","","1","","","106901","","120501","","","3","","120401","3","","","2"
"","","","129001","10","2","","4","0","2","","","0","","","106901","","121801","","","2","","121701","2","","",""
"","","","","11","2","","4","0","2","","","0","","","","","124401","","","2","","124301","2","","",""
"","","","","12","2","","4","0","2","","","0","","","","","128201","","","2","","128101","2","","",""
