5616c127fbed23d2e2e2bca2fb704abf422f09f29caf5a7b21964445dd4174df,4aaca6c8c7a5620b799f6e25c29203ae6b3f20e28c7c76161f302a8551d80f3e,a53e81470b4c0db544486158aa8cd2bf1b02133276aed34a0b08df42906bb533,34c67433afc8580e483c5aa55f275532d870a799b5613c7d7c920c3e33625d7d,35512a75b48468476c9e3acc642c9f2413fa3ef78efe874f166e845d703d7ada,edb0bdc8b2f16d92d0e2a2680113163389e111629523df0fb102a3f7861ab312,edb6a26e10ea1a5f4a644fe409bb04c20f594992a07dc61e36a79aa7b5651758,31e1503b8539fa9c790cf84b0f54f0af8ca2af170b73b96bbc92023dec537d60
"10120","2006401","5120061","8","ボクのギルド仲間の美しさ","20064115","20","91002"
"10120","2006401","5120062","8","【美食殿】の美しさ","20064115","20","91002"
"10120","2006401","5120063","8","【トゥインクルウィッシュ】\n の美しさ","20064115","20","91002"
"10120","2006401","5120064","8","【ラビリンス】の美しさ","20064115","20","91002"
"10120","2006401","5120065","8","【カルミナ】の美しさ","20064115","20","91002"
"10120","2006401","5120066","8","【リトルリリカル】の美しさ","20064115","20","91002"
"10120","2006401","5120067","8","【フォレスティエ】の美しさ","20064115","20","91002"
"10120","2006401","5120068","8","【悪魔偽王国軍（ディアボロス）】\n の美しさ","20064115","20","91002"
"10120","2006401","5120069","8","【王宮騎士団（NIGHTMARE）】\n の美しさ","20064115","20","91002"
"10120","2006401","5120070","8","【サレンディア救護院】の美しさ","20064115","20","91002"
"10120","2006401","5120071","8","【自警団（カォン）】の美しさ","20064115","20","91002"
"10120","2006401","5120072","8","【牧場（エリザベスパーク）】\n の美しさ","20064115","20","91002"
"10120","2006401","5120073","8","【メルクリウス財団】の美しさ","20064115","20","91002"
"10120","2006401","5120074","8","【トワイライトキャラバン】\n の美しさ","20064115","20","91002"
"10120","2006401","5120075","8","【ルーセント学院】の美しさ","20064115","20","91002"
"10120","2006401","5120076","8","【聖テレサ女学院（なかよし部）】\n の美しさ","20064115","20","91002"
"10120","2006401","5120077","8","【ドラゴンズネスト】の美しさ","20064115","20","91002"
"10120","2006401","5120078","8","？？？の美しさ　その１","20064115","20","91002"
"10120","2006401","5120079","8","？？？の美しさ　その２","20064115","20","91002"
"10120","2006401","5120080","8","？？？の美しさ　その３","20064115","20","91002"
