e3419fa4b8fa60539106674cf7695a868a4aae63fcd5ab62f78c8ca11223bd1f,84d887ade0548623dd4a3a2146bab14659628bfab633376c81424312c33c3b7a,ff1d302c4bdf368c292d7ee5b5e984b96f38f00cece388869f43b0f7f2bf2775,ae46fd1c1c87bb79b3366ae8cc33150fed9d9511552b5eabc1b8339df7605841,6908f72067f4dcce10478c4adb9f70795265daa953f9aa683f59bc1875d05287,db13481a36f0181c5e045ffb96ab953b5372c7b4395f477fbef7c69bce8913d7,ae16f3a282ebfb275ba0faecb98857aedf76aecca2da8bbb2694edcfe8677f7c
"1","91002","2500","8","101","10","累計スコアを2500pt 獲得しよう"
"1","91002","5000","8","102","10","累計スコアを5000pt 獲得しよう"
"1","91002","10000","8","103","10","累計スコアを10000pt 獲得しよう"
"1","91002","12500","8","104","10","累計スコアを12500pt 獲得しよう"
"1","91002","15000","8","105","10","累計スコアを15000pt 獲得しよう"
"1","91002","20000","8","106","10","累計スコアを20000pt 獲得しよう"
"1","91002","25000","8","107","10","累計スコアを25000pt 獲得しよう"
"1","91002","30000","8","108","10","累計スコアを30000pt 獲得しよう"
"1","91002","35000","8","109","10","累計スコアを35000pt 獲得しよう"
"1","91002","40000","8","110","10","累計スコアを40000pt 獲得しよう"
"1","91002","45000","8","111","10","累計スコアを45000pt 獲得しよう"
"1","11001302","50000","15","112","1","累計スコアを50000pt 獲得しよう"
"2","91002","2500","8","201","10","累計スコアを2500pt 獲得しよう"
"2","91002","5000","8","202","10","累計スコアを5000pt 獲得しよう"
"2","91002","10000","8","203","10","累計スコアを10000pt 獲得しよう"
"2","91002","12500","8","204","10","累計スコアを12500pt 獲得しよう"
"2","91002","15000","8","205","10","累計スコアを15000pt 獲得しよう"
"2","91002","20000","8","206","10","累計スコアを20000pt 獲得しよう"
"2","91002","25000","8","207","10","累計スコアを25000pt 獲得しよう"
"2","91002","30000","8","208","10","累計スコアを30000pt 獲得しよう"
"2","91002","35000","8","209","10","累計スコアを35000pt 獲得しよう"
"2","91002","40000","8","210","10","累計スコアを40000pt 獲得しよう"
"2","91002","45000","8","211","10","累計スコアを45000pt 獲得しよう"
"2","11001303","50000","15","212","1","累計スコアを50000pt 獲得しよう"
