6908f72067f4dcce10478c4adb9f70795265daa953f9aa683f59bc1875d05287,db13481a36f0181c5e045ffb96ab953b5372c7b4395f477fbef7c69bce8913d7,ff1d302c4bdf368c292d7ee5b5e984b96f38f00cece388869f43b0f7f2bf2775,e3419fa4b8fa60539106674cf7695a868a4aae63fcd5ab62f78c8ca11223bd1f,84d887ade0548623dd4a3a2146bab14659628bfab633376c81424312c33c3b7a,ae16f3a282ebfb275ba0faecb98857aedf76aecca2da8bbb2694edcfe8677f7c,ae46fd1c1c87bb79b3366ae8cc33150fed9d9511552b5eabc1b8339df7605841
"101","10","2500","1","91002","累計スコアを2500pt 獲得しよう","8"
"102","10","5000","1","91002","累計スコアを5000pt 獲得しよう","8"
"103","10","10000","1","91002","累計スコアを10000pt 獲得しよう","8"
"104","10","12500","1","91002","累計スコアを12500pt 獲得しよう","8"
"105","10","15000","1","91002","累計スコアを15000pt 獲得しよう","8"
"106","10","20000","1","91002","累計スコアを20000pt 獲得しよう","8"
"107","10","25000","1","91002","累計スコアを25000pt 獲得しよう","8"
"108","10","30000","1","91002","累計スコアを30000pt 獲得しよう","8"
"109","10","35000","1","91002","累計スコアを35000pt 獲得しよう","8"
"110","10","40000","1","91002","累計スコアを40000pt 獲得しよう","8"
"111","10","45000","1","91002","累計スコアを45000pt 獲得しよう","8"
"112","1","50000","1","11001302","累計スコアを50000pt 獲得しよう","15"
"201","10","2500","2","91002","累計スコアを2500pt 獲得しよう","8"
"202","10","5000","2","91002","累計スコアを5000pt 獲得しよう","8"
"203","10","10000","2","91002","累計スコアを10000pt 獲得しよう","8"
"204","10","12500","2","91002","累計スコアを12500pt 獲得しよう","8"
"205","10","15000","2","91002","累計スコアを15000pt 獲得しよう","8"
"206","10","20000","2","91002","累計スコアを20000pt 獲得しよう","8"
"207","10","25000","2","91002","累計スコアを25000pt 獲得しよう","8"
"208","10","30000","2","91002","累計スコアを30000pt 獲得しよう","8"
"209","10","35000","2","91002","累計スコアを35000pt 獲得しよう","8"
"210","10","40000","2","91002","累計スコアを40000pt 獲得しよう","8"
"211","10","45000","2","91002","累計スコアを45000pt 獲得しよう","8"
"212","1","50000","2","11001303","累計スコアを50000pt 獲得しよう","15"
