bdf4231d9bf4903a5b3ae6039967eeb0e04ce79500c85778089a70573a3f2cc8,eb4b954aa14f04ab2d5cbc57125e4038e265494ec13ba7d5a655959e049e62f8,1a4bc6cc5459b0f6f92d8cfb97ad68ba02f605711ca3f88f6511e15a7b0715a5,839ab1c64877c1e654aefcd08ac99e5d96ddf226b3f85e788bf03cc3831d0b38,5e650df87cb1e05336c83a30152b8bb251117000bc28ec66f9e03c3073a055e3
"10213001","1","10213","9000277","5213062"
"10213002","2","10213","9000278","5213064"
"10213003","3","10213","9000279","5213066"
"10213004","4","10213","9000280","5213068"
"10213005","5","10213","9000281","5213070"
"10213006","6","10213","9000282","5213072"
"10213007","7","10213","9000283","5213074"
"10213008","8","10213","9000284","5213076"
"10213009","9","10213","9000285","5213078"
"10213010","10","10213","9000286","5213080"
"10213011","11","10213","9000287","5213082"
"10213012","12","10213","9000288","5213084"
"10213013","13","10213","9000289","5213086"
"10213014","14","10213","9000290","5213088"
"10213015","15","10213","9000291","5213090"
"10213016","16","10213","9000292","5213092"
"10213017","17","10213","9000293","5213094"
"10213018","18","10213","9000294","5213096"
"10213019","19","10213","9000295","5213098"
"10213020","20","10213","9000296","5213100"
"10213021","21","10213","9000297","5213102"
