1a0cef2314478dcb3f2c1db3ce7c85bf95dc97cbf860ff654af8d642e31f7488,3219add0876a723d3a62e6747747530bf431cbaa6a8d64b9dec3e5881482ce43,185c45f781c5ebbea8262d66dbcc8dc9bb3d00915623c4b66cf0133965acc7ca,36c7ce290ff3134ece59c89864ca74686738c086f96b5858fe07b5962f6ae7fc,7cb18aa4d04863cf385848b7717328095d25143a64c7e4493468a45dba7fb2cc,690532f17d85cb0a6b3438218e2326beed648b3e7462854b7e194fd6d1ce66de,4650238db627b3ac1f582a3ff1bf4fadb8a14a11b2031efa1c8c3970bfa920f7,ee4db900541e1726474f9d2365506ffdbc4181a425efbf514a37aec3c0825853,6b613e0b239db979849a70e3b2d8737fa7859c8aa97be9d34b68c41f1fab3385,965d59b51488e88676c5e09f034e8bfec5207d8e562f2530f2834fe256e4479a,ca359382dbc6d2ca1e49dfe879ce0b0a8a840a925d7f3a4d40e95df2ad904fca,b77a827e095babbf1a38a11c40474d96f66ebe9f3c44b61388258677e248a96a,2830ee49129c20dc3c4ef033298a22532cbde64990e48fe4f3cb2b22beb6ef5d,e0145a8f3593678aad65586efc51a20b97f32e31514a31f8cdc2ea82673c0f5f,17d560c9928326243e6f94fcd7cbf440a5056c74e221f7413a5eb4b0803e811a,b1f84cbba76d4d741f12105177f3b5fa5f68c671620f9eb3669617a8fb1a4d66,4c6b36ddcd998ba3b2c6a6f86bd4e6c8cdbcd4f6658400e6f70b20fc2073a6c2,73f6cceb2f0b4b704f8a89441a4d5447d3a9ed65f94f020da75a128e7307ec28,434dd2ee5f8fc6c465e42b7df8229e44d6b616261049a7a46c0384c6d5295c89,abf45e27b215afb3994894fb86b249ac53d488b2c48ea0da175173c66864ad71,8f584c01effc2d0b6313deb74cd4c5f39562fdf74e93816b6f16105d877d258b,f72d5697cec6c8770111da215e530eca1e811e86578f7790ed0bd1900e6ce4db
"122282","0","0","0","0","1","0","0","0","0","102281","0","0","0","0","1","0","2000","0","0","0","102282"
"122311","0","0","0","0","1","0","0","0","0","101281","0","0","0","0","1","0","1500","0","0","0","102311"
"122312","0","0","0","0","1","0","0","0","0","102311","0","0","0","0","1","0","2000","0","0","0","102312"
"122341","0","0","0","0","1","0","0","0","0","101581","0","0","0","0","1","0","1500","0","0","0","102341"
"122342","0","0","0","0","1","0","0","0","0","102341","0","0","0","0","1","0","2000","0","0","0","102342"
"122371","0","0","0","0","1","0","0","0","0","101371","0","0","0","0","1","0","1500","0","0","0","102371"
"122372","0","0","0","0","1","0","0","0","0","102371","0","0","0","0","1","0","2000","0","0","0","102372"
"122401","0","0","0","0","1","0","0","0","0","101401","0","0","0","0","1","0","2000","0","0","0","102401"
"122431","0","0","0","0","1","0","0","0","0","101431","0","0","0","0","1","0","1500","0","0","0","102431"
"122432","0","0","0","0","1","0","0","0","0","102431","0","0","0","0","1","0","2000","0","0","0","102432"
"122491","0","0","0","0","1","0","0","0","0","101521","0","0","0","0","1","0","1500","0","0","0","102491"
"122493","0","0","0","0","1","0","0","0","0","102311","0","0","0","0","1","0","1500","0","0","0","102493"
"122521","0","0","0","0","1","0","0","0","0","102251","0","0","0","0","1","0","2000","0","0","0","102521"
"122613","0","0","0","0","1","0","0","0","0","101611","0","0","0","0","1","0","2000","0","0","0","102613"
"122614","0","0","0","0","1","0","0","0","0","102612","0","0","0","0","1","0","2000","0","0","0","102614"
"113011","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5000","0","0","0","103011"
"113012","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","7000","0","0","0","103012"
"113013","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","103013"
"123041","0","0","0","0","3","0","0","0","0","103071","0","0","0","0","1","0","7000","0","0","0","103041"
