da749b707436f5f90c8f341174e99b6df8430015bec7f19fd837296493da788d,dcf8c48273f2b399fd7e3d915649e8393e78ab45f8b2eee9d9a7e4c0a2862d54,35735a7a7293b69f40a5c4958fa3ec9ce572d6a87048c840f79668d77c4d6537,25d1f4b89ba953cf99126821ce016450859cb7cde41bbaebbe81d4d8518fb7e7,f751ff0c2d7f3419c65438a40b2a3ce2d0fdc70539fddaf4925595d5c2ef6778
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"0","0","2","0","4"
"0","0","2","0","5"
"0","0","2","0","6"
"0","0","3","0","7"
"0","0","3","0","8"
"0","0","3","0","9"
"0","0","4","0","10"
"0","0","4","0","11"
"0","0","4","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","2","0","0","16"
"0","2","0","0","17"
"0","2","0","0","18"
"0","3","0","0","19"
"0","3","0","0","20"
"0","3","0","0","21"
"0","0","3","0","22"
"0","0","3","0","23"
"0","0","2","0","24"
"0","0","2","0","25"
"0","2","0","0","26"
"0","2","0","0","27"
"0","0","2","3","28"
"0","0","2","3","29"
"0","2","3","0","30"
"0","2","3","0","31"
"0","3","3","0","32"
"0","3","0","0","33"
"0","0","3","4","34"
"0","0","0","0","35"
"0","2","2","0","36"
"0","2","2","0","37"
"0","3","4","0","38"
