8313eddd0daa0340b7d7d7afed017995a1f8a8b112f2fb0fb581f5a66c703949,13c98019478d8d586df693fc8c130e3bad6b0a8cac71db078a43204b6f045496,c377b01d1752fe429478f1817a46800a7cb8285dab74309d2839cc08ef7645a8
"14","4","1"
"20","15","2"
"25","21","3"
"30","26","4"
"35","31","5"
"40","36","6"
"45","41","7"
"50","46","8"
"55","51","9"
"60","56","10"
"65","61","11"
"70","66","12"
"75","71","13"
"80","76","14"
"85","81","15"
"90","86","16"
"95","91","17"
"100","96","18"
"105","101","19"
"110","106","20"
"115","111","21"
"120","116","22"
"125","121","23"
"130","126","24"
"135","131","25"
"140","136","26"
"145","141","27"
"150","146","28"
"155","151","29"
"160","156","30"
"165","161","31"
"170","166","32"
"175","171","33"
"180","176","34"
"185","181","35"
"190","186","36"
"195","191","37"
"200","196","38"
"205","201","39"
"210","206","40"
"215","211","41"
"220","216","42"
"225","221","43"
"230","226","44"
"235","231","45"
"240","236","46"
"245","241","47"
"250","246","48"
"255","251","49"
"260","256","50"
"265","261","51"
"270","266","52"
"275","271","53"
"280","276","54"
"285","281","55"
"290","286","56"
"295","291","57"
"300","296","58"
"305","301","59"
"310","306","60"
"315","311","61"
"320","316","62"
"325","321","63"
"330","326","64"
"335","331","65"
"340","336","66"
"345","341","67"
"350","346","68"
"355","351","69"
"360","356","70"
"365","361","71"
"370","366","72"
"375","371","73"
"380","376","74"
"385","381","75"
"388","386","76"
"-1","389","77"
