089a075e03e3ab3cff2a3d6e5ec1a54d79ed5b1bcaf6d362da04e85a7b71b06b,502a7cb826a5b852f3ac7269fe69763ede967d60287b079b18372b6a6633b0f8,502133fae44f8d154bdee0e42b76b2392ed5f79e1bb60415848d054109df2587,a0e559bca5518f63a96b1e025f357067c7e11df63d54f6143beb6e64d7b27f58,0e6e1c94a4395ca4994683e46d568cb2892c350b8e5d3222bb5096efc5d3d42c,1b3a3ec23fc025693cf363789f208501e37ac2100d459759c739877046b4e3dd,2dff9a20b2de575a66b166ca473e82444adacf4a2cf16e19962c1d2bb0a56727,64980a4d824d1937bb99ac5e343c64632f0d623be26e2bf296d15a4c3b985333,4a55d3e034af12f14f8b7f05ac3265b27c25f39ae097a4b05cacf70aff61dcf2
"1","7008","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1002","32000101","1","500000","1010","32000101"
"1","7008","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1002","32000102","2","750000","1010","32000102"
"1","7008","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1002","32000103","3","1000000","1010","32000103"
"1","7008","全プレイヤーでフレイヤを合計500,000回倒そう","1003","32000104","4","500000","1010","32000104"
"1","7008","全プレイヤーでフレイヤを合計750,000回倒そう","1003","32000105","5","750000","1010","32000105"
"1","7008","全プレイヤーでフレイヤを合計1,000,000回倒そう","1003","32000106","6","1000000","1010","32000106"
"0","7008","全プレイヤーでアラクネを合計1,000,000回倒そう","1004","32000107","7","1000000","1010","32000107"
"0","7008","全プレイヤーでアラクネを合計1,500,000回倒そう","1004","32000108","8","1500000","1010","32000108"
"0","7008","全プレイヤーでアラクネを合計2,000,000回倒そう","1004","32000109","9","2000000","1010","32000109"
"1","7007","宝石蜘蛛の群れに1回挑戦しよう","1001","32000110","10","1","1009","32000110"
"1","7007","バンディ・シスターズを1回倒そう","1002","32000111","11","1","1009","32000111"
"1","7007","フレイヤを1回倒そう","1003","32000112","12","1","1009","32000112"
"0","7007","アラクネを1回倒そう","1004","32000113","13","1","1009","32000113"
