a37c07abf40ba32efada50cd9b1cc743a88bfc8738b23d5199070704156fb769,49eed7d1d2dc5c1e761c4f6e7618c40603ca27cd1dcae23dec91249db790a4a5,1889b5fed98420071bf7b8d568728e5f2d5221fcd97194dcd0d59fbc4b1fd753,e15316855c0cdb2f8e9c0226903220b8a3bee06fc2a091c6931fa27732a5addf,44fd92e4b4a8145683706cf5ad24616c6267c90246077ebee99abfc8db64755a,8d18fbeacc235e6ba417fd3212ec36d9cc07d5ed8c2776974bd40e8375506f81,1a32921f3ac0c6de044fe03c63dfc14c00ba32372583f3ca46163ca277ab0f5f,55c40ece810e07a6de458e4052332f7c81e4fdc8f6eb805a1c174e06a714999b,a9a54411be7b47bbbd558f57174ef2af0b44db4c36b033799b9f95c2ded97f1d,086b74a1713cefed7c63c0bc010f47ec092cb97f15db9898417fc62c02772cdd,4d2b944af790d42af0403ca1c5066d5aa3b2515e9168bf7fc82bc2c5759f5761,8a718533241bd3a61a50e2d83438a69ab43464455377705bd3f726b40ad986b8,66f979c7d0a0d69ea63733cb7df4d7d231199d26ddd10a9360a7141335e27e24,59b083f2fe8b90eb0be70007efd2d8de21f21f844e240aecd29b318d4d3ad52c,d8554551dda7681be3b3fb6373fefbe84ffcb869941c5b83a595399ea9c0c954
"10011","0","50","2","難易度VERY HARDのゴブリングレートを0:30秒以上残してクリアしよう","91002","81","0","100001","1","8","90005","1001","10","0"
"10012","0","50","2","難易度VERY HARDのトライロッカーを0:30秒以上残してクリアしよう","91002","82","0","100002","1","8","90005","1001","10","0"
"10013","0","50","2","難易度VERY HARDのマスター・ウキキーを0:30秒以上残してクリアしよう","91002","83","0","100003","1","8","90005","1001","10","0"
"10014","0","50","2","難易度VERY HARDの歪音の精霊を0:30秒以上残してクリアしよう","91002","84","0","100004","1","8","90005","1001","10","0"
"10015","0","50","2","難易度VERY HARDのラストドラゴンを0:30秒以上残してクリアしよう","91002","85","0","100005","1","8","90005","1001","10","0"
"10016","0","20","2","難易度VERY HARDのラストドラゴンをパーティ2までにクリアしよう","140001","85","0","100006","1","4","90008","1001","1000","0"
"10017","0","20","2","難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","140001","85","0","100007","1","4","90008","1001","1000","0"
"10021","0","50","2","難易度VERY HARDのゴブリングレートを0:30秒以上残してクリアしよう","91002","81","0","100001","1","8","90005","1002","10","0"
"10022","0","50","2","難易度VERY HARDのトライロッカーを0:30秒以上残してクリアしよう","91002","82","0","100002","1","8","90005","1002","10","0"
"10023","0","50","2","難易度VERY HARDのマスター・ウキキーを0:30秒以上残してクリアしよう","91002","83","0","100003","1","8","90005","1002","10","0"
"10024","0","50","2","難易度VERY HARDの歪音の精霊を0:30秒以上残してクリアしよう","91002","84","0","100004","1","8","90005","1002","10","0"
"10025","0","50","2","難易度VERY HARDのラストドラゴンを0:30秒以上残してクリアしよう","91002","85","0","100005","1","8","90005","1002","10","0"
"10026","0","20","2","難易度VERY HARDのラストドラゴンをパーティ2までにクリアしよう","140001","85","0","100006","1","4","90008","1002","1000","0"
"10027","0","20","2","難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","140001","85","0","100007","1","4","90008","1002","1000","0"
"10028","0","20","2","風属性か水属性だけを編成して難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","140001","85","0","100208","1","4","90008","1002","1000","0"
