a2ee80a324c90cba5c3754f14447544256a2ef70f969ff2b13709aeb15a54ec5,7ae617f99f647b24f92b594a85e690015bead6c17d9450eb28004721ef41b0da,8258ae46d00a87076262ddac6a7c08c3bce64d60f4f5eaf302c0b1d14ed394c1,55ecee53195ce25b0bf2d3ae7fa725c79cd42e923975f8ecde5483788a340977,5c64b3dc415b927ca41c23c057a69805d6443e109dd1c396c6594006d8d9a45e,5224665e8c76675e96a7f165e3a176a1d77ce5465581555f3c867e6855d0ccdf,e7d1bca39ca8f9fb6b5ea1b72be9d2b125d4da4302fb98b144dec6815b913182,97042e75eb67bf788d78b95958f0ba0cdfed60ae889683fa99a1cb93224016da,caaf804265409e236942622f7e4951a186cc4e2e5b6643d5eab430e073fa156e,263d7715f83e1deb48baba233c7e62e87be5076c0e9c04946dfc2af81fdffdf7,9e4da6e0b0a800b923b239ad09bc4399e660b6d3d5297f99437fb2fb9d74262f,a7b21b27fe56f6040ec4fe28a3737d121fba435c3196c9469d98b706644b26eb,dd86fbf1e6e8ba7e14aa02dfff5cbb54be4b58c1f77bcff8ec2b3a87dbf3686c,3fa69621f327c66a8b52caf665bbc60ac270efb3198c7d8ff1e2dfe6563f1f91
"1","1","2020/03/31 12:00:00","カリン","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","53","3.414","-416.5","10038","190801","2020/04/18 14:59:59","0","2","10038001"
"2","1","2020/03/31 12:00:00","カリン","ミッションをクリアして、\n報酬をゲットしましょう！","53","3.099","-416.5","10038","190801","2020/04/18 14:59:59","0","2","10038002"
"3","1","2020/03/31 12:00:00","カリン","受け取ることができる\n報酬があるようです\n確認してみてください","54","2.801","-416.5","10038","190801","2020/04/18 14:59:59","0","2","10038003"
"4","2","2020/03/31 12:00:00","カリン","報酬がもらえますよ！\nチェックしてみてください","54","0","-416.5","10038","190801","2020/04/18 14:59:59","0","2","10038004"
"5","1","2020/03/31 12:00:00","カリン","イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","57","0","-416.5","10038","190801","2020/04/18 14:59:59","0","1","10038005"
"1","1","2020/03/31 12:00:00","カリン","ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","55","5.506","-363","10038","190801","2020/04/18 14:59:59","0","2","10038006"
"2","2","2020/03/31 12:00:00","カリン","お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","55","1.216","-363","10038","190801","2020/04/18 14:59:59","0","1","10038007"
"3","2","2020/03/31 12:00:00","カリン","お疲れ様でした\n討伐証の交換、\nお忘れないように！","56","1.539","-363","10038","190801","2020/04/18 14:59:59","0","1","10038008"
"4","2","2020/03/31 12:00:00","カリン","終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","56","1.875","-363","10038","190801","2020/04/18 14:59:59","0","1","10038009"
"101","1","2020/03/31 12:00:00","チエル","","51","9.376","-285","10038","110901","2020/04/18 14:59:59","8","7","10038101"
