f30e78aca015dbe14a4933e3022227218039b27713a1bce5a433157c835fe7df,70bf015003bdb085f3b1b3b54305f5a53a439bbd7f164271d2814dbe765dc85b,1e84eeae6474e171ae0f41b710a82d389cee90b0f97ac51688e79b1cea941a6f,932d102f0f146dde3327d37e4d1cbf1ccfd6602fd1cc8e9bb1b7476d4fa79449,a26fef92e5ca1959c6d46a420df2f5c76f341b4ac50d5ae31be64b7e1ae7a3bb,97efbe3d046b6a5b3c1241c6360470e8a2446293e9e991d686312b24d8f10b81,6c8d5850a3e4d1b2edf9dd8ffb32bdfe27328c20a34e56cfcba40a54a081e7d9,f95f29928078696b02bb870a0fe94bf7c6385a25ca538f929488eab4c9e0f19c,51260cf6b0c8131e4aae7f1625adf3fe9e01736cb8dea1a952d7f5e231ca766a,e591866382f5d1248bb016f0aaa9b778a22d3551cef97b49dcaf9ea9e7e51745,2c3b4168391b3f3624caf283ca5e17ab238f0f4cbe2ce1cad22e126d96fbb94e,330ef34f81912aff1e8c3e2b51d5eae20301924e4e8d65042503e0703f543524
"20","100201","若さと微熱","0","20041106","10074","0","ユイのカルテ　その１","8","91002","2021/08/31 12:00:00","1007401"
"20","100201","この胸の高鳴りを","1007401","20041112","10074","0","ユイのカルテ　その２","8","91002","2021/08/31 12:00:00","1007402"
"30","100201","狂おしき病の名は","1007402","20041115","10074","0","ユイのカルテ　その３","8","91002","2021/09/02 5:00:00","1007403"
"20","111001","予期せぬ来訪者","0","20041106","10074","0","ユニのカルテ　その１","8","91002","2021/08/31 12:00:00","1007404"
"20","111001","お薬の時間","1007404","20041112","10074","0","ユニのカルテ　その２","8","91002","2021/08/31 12:00:00","1007405"
"30","111001","親愛なるあなたへ","1007405","20041115","10074","0","ユニのカルテ　その３","8","91002","2021/09/03 5:00:00","1007406"
"20","102501","奇妙な外来患者","0","20041108","10074","0","スズメのカルテ　その１","8","91002","2021/08/31 12:00:00","1007407"
"20","102501","恐るべき症例","1007407","20041114","10074","0","スズメのカルテ　その２","8","91002","2021/08/31 12:00:00","1007408"
"30","102501","現代医学の限界","1007408","20041115","10074","0","スズメのカルテ　その３","8","91002","2021/09/04 5:00:00","1007409"
"20","104401","夜を統べる者の受難","0","20041108","10074","0","イリヤのカルテ　その１","8","91002","2021/08/31 12:00:00","1007410"
"20","104401","美しきプロデュース","1007410","20041114","10074","0","イリヤのカルテ　その２","8","91002","2021/08/31 12:00:00","1007411"
"30","104401","麗しのレッスン","1007411","20041115","10074","0","イリヤのカルテ　その３","8","91002","2021/09/05 5:00:00","1007412"
"20","100901","見えない敵","0","20041110","10074","0","アンナのカルテ　その１","8","91002","2021/08/31 12:00:00","1007413"
"20","100901","封じられた魔法","1007413","0","10074","2004101","アンナのカルテ　その２","8","91002","2021/08/31 12:00:00","1007414"
"30","100901","隻眼の悪魔の特別診療","1007414","0","10074","2004101","アンナのカルテ　その３","8","91002","2021/09/06 5:00:00","1007415"
"20","103101","スカルサプライズ","0","20041110","10074","0","シノブのカルテ　その１","8","91002","2021/08/31 12:00:00","1007416"
"30","103101","迷える少女に救いの手を","1007416","0","10074","2004101","シノブのカルテ　その２","8","91002","2021/09/01 5:00:00","1007417"
