2d66e4399ed046a3622d03c8004cad64bca9271e63a8f67ad0ec93dd4462fba7,596137fb3f7e4add2446dd64579e7d0aacc2e6380779f2b15c66dc364da7f844,fe011b8205a21eeeff39818f1203552148896ebef2ded148f3be37f7b497c115,b4e52c7d5c330504a71c585593448b5dc3c375c6cfb97deff093d7c14bf05540,5898cfc5fc0714fbb225174f2b9b10b0ddb42c0e7ae160c881462d1504add54c,efc434c78ae5008a851b7ab4c6794629797000b717bc0ecf42b5a82810eb2f22,61d6eb7c34ffc031408e877765fea3d3057a8a7599b0b70653244978d329e2ce,6ef1d6c354f0676e51ac7377f6a3caf78e48463a916766e0d9dbdc12c7fd6ca4,8e152810171db6327d56706c698b83baa3f446bba76d840005958f0c964dea20
"1","7008","32000101","1","1010","500000","32000101","全プレイヤーでバンディ・シスターズを合計500,000回倒そう","1002"
"1","7008","32000102","2","1010","750000","32000102","全プレイヤーでバンディ・シスターズを合計750,000回倒そう","1002"
"1","7008","32000103","3","1010","1000000","32000103","全プレイヤーでバンディ・シスターズを合計1,000,000回倒そう","1002"
"1","7008","32000104","4","1010","500000","32000104","全プレイヤーでフレイヤを合計500,000回倒そう","1003"
"1","7008","32000105","5","1010","750000","32000105","全プレイヤーでフレイヤを合計750,000回倒そう","1003"
"1","7008","32000106","6","1010","1000000","32000106","全プレイヤーでフレイヤを合計1,000,000回倒そう","1003"
"0","7008","32000107","7","1010","1000000","32000107","全プレイヤーでアラクネを合計1,000,000回倒そう","1004"
"0","7008","32000108","8","1010","1500000","32000108","全プレイヤーでアラクネを合計1,500,000回倒そう","1004"
"0","7008","32000109","9","1010","2000000","32000109","全プレイヤーでアラクネを合計2,000,000回倒そう","1004"
"1","7007","32000110","10","1009","1","32000110","宝石蜘蛛の群れに1回挑戦しよう","1001"
"1","7007","32000111","11","1009","1","32000111","バンディ・シスターズを1回倒そう","1002"
"1","7007","32000112","12","1009","1","32000112","フレイヤを1回倒そう","1003"
"0","7007","32000113","13","1009","1","32000113","アラクネを1回倒そう","1004"
