44cc5350876cc5473eb8fe0e32eeda9950539d819dde5e20754f823d01062474,9a1521a7506e4ad3ee7362958233ac8e5d7e3edace32eb1611b908c6cb1f74db,a9677a37dfca40e5f5d301bd921ae253c8e90f23103f7837264d725fe7741bb4,e0a58c3cc369bad4da4f0c155abf5b632b65f72c90aa476634ea4e2739d09899,05ca0249dee5b16b1e6c67ca66b729a06e4664c8af55a0dfd4c22c722b642271
"803100201","0","3","1","3001"
"803100202","0","3","2","3001"
"803100203","0","3","3","3001"
"803100204","0","3","1","3002"
"803100205","0","3","2","3002"
"803100206","0","3","3","3002"
"803100207","0","3","1","3003"
"803100208","0","3","2","3003"
"803100209","0","3","3","3003"
"803100210","0","3","1","3004"
"803100211","0","3","2","3004"
"803100212","0","3","3","3004"
"803100213","0","3","1","3005"
"803100214","0","3","2","3005"
"803100215","0","3","3","3005"
"803100216","0","3","1","3006"
"803100217","0","3","2","3006"
"803100218","0","3","3","3006"
"803100219","0","3","1","3007"
"803100220","0","3","2","3007"
"803100221","0","3","3","3007"
