7ada86faddc1327611c972cb00f387b996df3cd135327d1ddbe02aee9ca73e39,06646b3f6f72ba134fb954e48c269bd21695c5fc8d6dca3d38c78a093898e082,59ee4c8fcff60642578a50ac47ec455f55bca9f1116dad482d0a02bcec1a1330,6c5e52033d7798c8b8b4ec5a3c845a2b41fc76401eceb05d41f6e5778140796c,ee1fa22b731131fd0c670df2673fe5a458a2f22f4b645439265572fcb2aaaeb9,23c5bf5824a9107212a56cc95a5499a8e68186d03310a46d8176aa8441effe64,036f694c41bcd7123859a319d43271a2dd78a3c18a85acc129edce18ad344638,43ce65afe113816819d0666a5182f6face1b00f94faed00ef24686d3ff2d4afc,6ad7ea57cc6e5aca3f7a36fd3ddf738cc64bced9df95cf568d2ca6c288b6426f,347af64ae30d167c40ed02b921acad2da5e4b25ff2bc826de48cdee4e2e97031,4ad424aa1a33c6f526598f764a35e7061e501ab4101e8ffd7bed13cec260ac52,46905722e2c1884797189934bfc7e16f26082a7174dbfca912dee7501ce1769e,f404b4f6604a4b2179b631be4b03220f75ac3fe5633531040dd8e1038638cab1,57638f13d9715f853e1d07a30a9c5202db1a88f7fc80ee1e597e258ed406813f
"1","24","0","リン","0","2030/12/17 14:59:59","0","24001","10040","102601","2020/04/30 12:00:00","0","あたしだって\nやるときはやるよ！","1"
"1","24","0","リン","0","2030/12/17 14:59:59","1","24002","10040","102601","2020/04/30 12:00:00","0","ふぅ…\nこれであたしの仕事は\n終わりだね","1"
"1","24","0","リン","0","2030/12/17 14:59:59","2","24003","10040","102601","2020/04/30 12:00:00","0","終わった終わった\n一人でもなんとか\nなるもんだね","1"
"2","24","0","リン","0","2030/12/17 14:59:59","3","24004","10040","102601","2020/04/30 12:00:00","0","やったね！\nこれでようやく\nサボれるよ…","2"
"1","24","0","リン","0","2030/12/17 14:59:59","4","24005","10040","102601","2020/04/30 12:00:00","0","チーズが欲しいなら\nきちんと働いて\n買いに来なよ","1"
"2","24","0","リン","0","2030/12/17 14:59:59","5","24006","10040","102601","2020/04/30 12:00:00","0","あたしを敵に回した\n恐ろしさ\n思い知ったか！","2"
"2","24","0","リン","0","2030/12/17 14:59:59","6","24007","10040","102601","2020/04/30 12:00:00","0","あたしも意外と\nやるもんでしょ？","2"
"4","24","0","リン","0","2030/12/17 14:59:59","7","24008","10040","102601","2020/04/30 12:00:00","0","疲れた…\nねずみの逃げ足\n速すぎるよ…","4"
"4","24","0","リン","0","2030/12/17 14:59:59","8","24009","10040","102601","2020/04/30 12:00:00","0","このままじゃ\nまっひ～に\n叱られちゃうよ","4"
"4","24","0","リン","0","2030/12/17 14:59:59","9","24010","10040","102601","2020/04/30 12:00:00","0","まじめに\nやったんだけどな…\n悔しいな～","4"
"4","24","0","リン","0","2030/12/17 14:59:59","10","24011","10040","102601","2020/04/30 12:00:00","0","やられた…\nねずみって意外と\nてごわいね","4"
"4","24","0","リン","0","2030/12/17 14:59:59","11","24012","10040","102601","2020/04/30 12:00:00","0","おのれ～\nあたしのチーズを\n盗みやがって～！","4"
"1","24","1.81","リン","0","2030/12/17 14:59:59","12","24013","10040","102601","2020/04/30 12:00:00","0","疲れた…\nけど、次こそは\n守り抜くよ…","4"
