e8b2ff5a5c9240ad202374adaa733115dcbed8a51f8f8df7c4f0308f69b9004d,5d9007925d6269ad0db0f79a08aacfb9d07cedfbaf62b9cd4474d9890a12df79,c25bd7ec5ce27b968572743a5b0bb83625e58c78803f2347e1558fdd71cb3d1d,0b345abf9183de9d2f8d3e55b41606a316fe8751d6e04b226a5151bdcaa22e4d,504b031add7a83a233cff05161346248910cc78076e5b03b3070386460726078
"91002","1","100","1","8"
"91002","2","100","2","8"
"91002","3","100","3","8"
"91002","4","100","4","8"
"91002","5","100","5","8"
"23003","6","500","6","2"
"140001","7","100","7","4"
"21953","8","1","8","2"
"23003","9","500","9","2"
"25001","10","100","10","2"
"90005","11","100","11","2"
"41000","12","1","12","2"
"23003","13","500","13","2"
"25011","14","10000","14","2"
"25012","15","10000","15","2"
"25013","16","10000","16","2"
"25014","17","10000","17","2"
"25015","18","10000","18","2"
"25021","19","5000","19","2"
"25101","20","1","20","2"
"23003","21","100","21","2"
"25011","22","10000","22","2"
"25012","23","10000","23","2"
"25013","24","10000","24","2"
"25014","25","10000","25","2"
"25015","26","10000","26","2"
"25021","27","5000","27","2"
"91002","28","100","28","8"
"23003","29","150","29","2"
"23003","30","150","30","2"
"23003","31","150","31","2"
"23003","32","150","32","2"
"23003","33","150","33","2"
"23003","34","150","34","2"
"26202","35","50000","35","2"
"26202","36","50000","36","2"
"26203","37","1","37","2"
"26202","38","50000","38","2"
"26202","39","50000","39","2"
"26203","40","1","40","2"
"26202","41","50000","41","2"
"26202","42","50000","42","2"
"26203","43","1","43","2"
"26202","44","50000","44","2"
"26202","45","50000","45","2"
"26203","46","1","46","2"
"26202","47","50000","47","2"
"26202","48","50000","48","2"
"26203","49","1","49","2"
"26202","50","100000","50","2"
"26202","51","100000","51","2"
"26203","52","1","52","2"
"26202","53","100000","53","2"
"26202","54","100000","54","2"
"26203","55","1","55","2"
"26202","56","100000","56","2"
"26202","57","100000","57","2"
"26203","58","1","58","2"
"26202","59","100000","59","2"
"26202","60","100000","60","2"
"26203","61","1","61","2"
"26202","62","100000","62","2"
"26202","63","100000","63","2"
"26203","64","1","64","2"
