d024fdf3330a132bbfb7db1f7f27283f82a908acbd3790df4fd36dae568594c7,eac62fce814b4f7e4f70b8c38b8fdf684004d26e41fc9b6fbbb5e27fd9f13e14,bc78ea3bdf6055785186abffb9d7f45774e3309dd400589d935fc64f652f4854,fb90ad59ca19dc4851b7e2a532df11da2732d1cec1335ff67801881ae38655f1,d2a6b675148302e4a9108cf36b9e79e2f3386bd4c588567eac93d5f5f28369ab,c3cdfe20333ce88e322a4d53c615cea8747f8f5abf8ce6a5c8c79cef6cf80107
"150","1","10","150","1","0"
"250","1","10","400","2","0"
"400","1","10","800","3","0"
"150","2","20","150","1","0"
"250","2","20","400","2","0"
"400","2","20","800","3","0"
"500","2","20","1300","4","1"
"800","3","30","800","1","0"
"1000","3","30","1800","2","0"
"1200","3","30","3000","3","0"
"1400","3","30","4400","4","1"
"1600","3","30","6000","5","2"
"800","4","40","800","1","0"
"1000","4","40","1800","2","0"
"1200","4","40","3000","3","0"
"1400","4","40","4400","4","1"
"1600","4","40","6000","5","2"
