8475b91c696ab460f60969db6d1bf816230c37b2e369d418c14f6cc119242bd9,ef2b0a97b8a6b004f3f441b55e64e4c32d8e6eac315665fcdbfabea61e703f9f,f1b5542d6c7b9638e2ff3991c078fdef2eff5cfe226248eeac61b3a3a1c88e3b,64064bcd824f79c20e6eae62242629a3e00751eee842827abae65b4e42f3b33f,3f26a6c7867392091934107b4858d416dccfaa4b2b4db96a9585d0ef5f8cd1f3
"1","0","1","3030100","0"
"1","0","2","3050100","0"
"1","0","3","3040100","0"
"1","0","4","3020100","0"
"1","0","5","2040100","0"
"2","0","5","2040100","0"
"1","0","6","2020100","0"
"2","0","6","2020100","0"
"1","314","7","1030100","0"
"1","0","8","4030100","0"
"1","502","9","1050100","0"
"1","0","10","4020100","0"
"1","0","11","2030100","0"
"2","0","11","2030100","0"
"1","0","12","3040100","10301010"
"1","202","13","1020100","0"
"1","406","14","1040102","20201010"
"1","105","15","1010200","0"
"2","0","15","2010200","0"
"3","0","15","2010200","0"
"1","0","16","3050200","0"
"1","0","17","3040200","0"
"1","0","18","3020200","0"
"1","0","19","2040200","0"
"2","0","19","2040200","0"
"1","0","20","2020200","0"
"2","0","20","2020200","0"
"1","315","21","1030200","0"
"1","205","22","1020200","0"
"1","509","23","1050200","0"
"1","0","24","4020200","0"
"1","0","25","2030200","0"
"2","0","25","2030200","0"
"1","0","26","4030200","0"
"1","0","27","3020200","10101020"
"1","408","28","1040200","20201020"
"1","0","29","3040200","10101020"
"1","0","30","3010200","10101020"
"1","102","31","1010300","0"
"2","0","31","2010300","0"
"3","0","31","2010300","0"
"1","0","32","3050300","0"
"1","0","33","3040300","0"
"1","0","34","3020300","0"
"1","0","35","2040300","0"
"2","0","35","2040300","0"
"1","0","36","2020300","0"
"2","0","36","2020300","0"
"1","306","37","1030300","0"
"1","206","38","1020300","0"
"1","502","39","1050300","0"
"1","0","40","4020300","0"
"1","0","41","2030300","0"
"2","0","41","2030300","0"
"1","0","42","4030300","0"
"1","0","43","3020300","10101030"
"1","406","44","1040300","20201030"
"1","0","45","3010300","10101050"
"1","0","46","3040300","10101050"
"1","0","47","3030300","10101050"
"1","0","48","3010300","10101050"
"1","0","49","3020300","10101050"
"1","112","50","1010300","30102050"
