935e00cfce6e0166abd8baa57a8d413428782e4855f457f5b2abd195bf32eb44,a1abfd3a08aedbfa6d2ce52d963cd560b8914966f13302641677d6d17e1a1cf4,ba360b58759dfd37b991d9dfbfefcb7f6bea2564b127e9065e01a3579a1ce075,b5b5a27d22e1945422ba8f9db53d0ae1b7383d48f62e455052baaba9e43a80e6,06c8518a1ecbb3ca5e51f9d975822505e2941dff71fcc172ac92e7711585612b,7f1d812bc9ed14323a428a58416a78bd79a062200e9af41d49ab2ee68241d1bf,7703465009cf0ac9140998fbeffb655968a749d755cf009692366d2461b37dcd
"1","0","0","料理入手イベント","3","0","1"
"2","0","0","ダイス入手イベント1","1","0","2"
"3","0","0","ダイス入手イベント2","2","0","2"
"4","1","3","ターン数カウントスキップ","0","0","3"
"5","0","2","マイル+100%","100","1","4"
"6","0","2","ミニゲームマイル+100%","100","1","5"
"7","0","3","ショップ割引イベント","300","1","6"
"8","0","3","ショップ割引イベント","300","1","6"
"98001","2","3","ターン数カウントスキップ1","0","0","3"
"98011","1","3","ターン数カウントスキップ1","0","0","3"
"98012","2","3","ターン数カウントスキップ2","0","0","3"
