f55aafc94f092298bfa32c4a0fa2dc56235c154cf8ea8db48dac3ab8433dc369,7d31ffa2eca803603a3fc83cdda6aefa99e621d612e673f052d69f32c4f8a2c7,cb92ab2990fa7e6115b808fac776a381a9f0c69c6f812bcbe5e15d07e776fc10,7393e149ccb55403d05bd46ebf1941c090c6cfac7737a8dd22a9cc6c20634b0c,36c5d0a0d1a419f69fec58df1267c7f9731422453c767a228afc7670c99d0ec4,37556ff9fe44b4958e808bf777ad023739ec1cdf7c3e7f73be957a6c2977e0e8
"1","2020-02-15 15:00:00","1","おまかせ","","1"
"2","2020-02-15 15:00:00","2","デフォルト","","2"
"3","2020-02-15 15:00:00","3","アニバーサリー","","3"
"1","2020-02-15 15:00:00","4","ピンク","","4"
"1","2020-02-15 15:00:00","5","レッド","","5"
"1","2020-02-15 15:00:00","6","イエロー","","6"
"1","2020-02-15 15:00:00","7","グリーン","","7"
"1","2020-02-15 15:00:00","8","ライトブルー","","8"
"1","2020-02-15 15:00:00","9","ブルー","","9"
"1","2020-02-15 15:00:00","10","パープル","","10"
"1","2020-02-15 15:00:00","11","グレー","","11"
