fc757fefc6492d354c784525fb74cc44f119a9bededa0576008050e9078a15f9,656b9d6febe99c7fd37cd148bd3edf47b4d8f8bb29909f2ec4570d3ade41039a,eca91e82cb890624cb1577cde5caa1e37ebd6100a8c22854dd3ec156a52e7378,593e42b8e2c50235e1b4964b0d6b6ec202e22039937270c56d30232858c13d93,405465177ea880837e0fc6e033faf60e5d2bc1bde38b3b1d40999f7b6702a314,0efbf6123d9779763f4f5d453538c35c854decbc7f4aa6042c4efcf619921a42
"0","1","20025","1101","1","0"
"0","1","20025","1102","1","0"
"1","1","20025","1103","0","5042002"
"0","1","20025","1104","1","0"
"1","1","20025","1105","0","5042003"
"0","1","20025","1106","1","0"
"2","1","20025","1107","0","5042005"
"1","2","20025","1201","0","5042007"
"2","2","20025","1202","0","5042007"
"0","2","20025","1203","1","0"
"0","2","20025","1204","1","0"
"0","1","20025","1301","0","0"
