9193c1ec496e8a32725f6d51387a8ff1b834ee99cab3ff9703443126d86fe830,2df849a47ef432d60f90673662333ad87f42f93c806f3669a2fc32842966c830,2a0cc33d6be5a8ee1a35d0539a7fe05ce93a631419fe296b2b4efee5dffc12da,3aada5d4afdc79aabc7631d75fb9c85c05d99f86f5cff8e82fe564edf5878251
"100101","1.6","-354","938"
"100201","1.6","-499","952"
"100301","1.6","-523","1014"
"100401","1.6","-488","894"
"100601","1.6","-628","980"
"100701","1.6","-573","983"
"100801","1.6","-544","1019"
"100901","1.6","-510","985"
"101001","1.6","-660","1115"
"101101","1.6","-415","1128"
"101201","1.6","-589","1042"
"101601","1.6","-501","1050"
"101701","1.6","-598","1038"
"101801","1.6","-356","985"
"102001","1.6","-494","1114"
"102101","1.6","-392","1003"
"102201","1.6","-407","1057"
"102501","1.6","-388","997"
"102701","1.6","-490","1090"
"102801","1.6","-554","987"
"102901","1.6","-526","976"
"103001","1.6","-879","994"
"103101","1.6","-560","1056"
"103301","1.6","-453","1018"
"103401","1.6","-345","1017"
"103801","1.6","-674","961"
"104001","1.6","-499","1095"
"104201","1.6","-521","955"
"104301","1.6","-581","1079"
"104501","1.6","-538","980"
"104601","1.6","-364","954"
"104801","1.6","-777","1107"
"104901","1.6","-795","973"
"105001","1.6","-492","1122"
"105201","1.6","-607","1035"
"105301","1.6","-490","885"
