8c3ac87e839ae24ce5795bf3dc656b407f87c979a998b9b003f5bb85c6809ac0,5b1107cc7daf88e0b0dd328016562094b3d6394e80db43a43be0e3fd1254263c,a8e6394b8e6641dcc82871a472823475344a02d4c0200acc812bae94284dca6b,5974c2be101bc636f018bf7022075aed786ef5de1db1cdeb87e853b33f17ecb1
"170","1000","1","1"
"175","3000","2","1"
"180","5000","3","1"
"185","7000","4","1"
"190","9000","5","1"
"195","11000","6","1"
"200","13000","7","1"
"205","15000","8","1"
"210","17000","9","1"
"215","19000","10","1"
"220","21000","11","1"
"225","23000","12","1"
"230","25000","13","1"
"232","27000","14","1"
"234","29000","15","1"
"236","31000","16","1"
"238","33000","17","1"
"240","35000","18","1"
"242","37000","19","1"
"244","39000","20","1"
"246","41000","21","1"
"248","43000","22","1"
"250","9999999","23","1"
"170","1000","24","2"
"175","3000","25","2"
"180","5000","26","2"
"185","7000","27","2"
"190","9000","28","2"
"195","11000","29","2"
"200","13000","30","2"
"205","15000","31","2"
"210","17000","32","2"
"215","19000","33","2"
"220","21000","34","2"
"225","23000","35","2"
"230","25000","36","2"
"232","27000","37","2"
"234","29000","38","2"
"236","31000","39","2"
"238","33000","40","2"
"240","35000","41","2"
"242","37000","42","2"
"244","39000","43","2"
"246","41000","44","2"
"248","43000","45","2"
"250","9999999","46","2"
"170","1000","47","3"
"175","3000","48","3"
"180","5000","49","3"
"185","7000","50","3"
"190","9000","51","3"
"195","11000","52","3"
"200","13000","53","3"
"205","15000","54","3"
"210","17000","55","3"
"215","19000","56","3"
"220","21000","57","3"
"225","23000","58","3"
"230","25000","59","3"
"232","27000","60","3"
"234","29000","61","3"
"236","31000","62","3"
"238","33000","63","3"
"240","35000","64","3"
"242","37000","65","3"
"244","39000","66","3"
"246","41000","67","3"
"248","43000","68","3"
"250","9999999","69","3"
