cb5d4f3bfd284d191ad81f4a6069bd93dcec5b00a211713edfad38983b004581,f78d15ee369c56ddfa86a14747fbd52e32827e1086d292b47002cf652b85efca,8103dc1599de7775282047b473cc88ccc555db929dfe1bdd96c764554f364f59,ba085058e3fd4de7e407fe50f24686ac2a9f1ca5986ce61c41525ac2dccaf608,32da16ee33f03b60e589d077752da83550c854c0878e41cfee73567117309c7b,b9186fd1afe5e9166416f345594457ac13156ed42a33b0b320cf7d3d6d4eed6d,8a87a128c7c2935e3f6d4116f142dd9e6e73f782dbd48113b20071d17a271ef8,e2e1cb640e3e20a43e6d3dcd883452b3cc6f78fcb769789be937f623b6fcf836
"1","4","1","2","2025/06/16 14:30:00","25000","26203","20001"
"1","0","1","18","2025/06/16 14:30:00","50000","4304511","20002"
"1","0","1","18","2025/06/16 14:30:00","50000","4304512","20003"
"1","0","1","18","2025/06/16 14:30:00","50000","4304513","20004"
"1","0","1","18","2025/06/16 14:30:00","50000","4304514","20005"
"1","0","1","18","2025/06/16 14:30:00","50000","4304515","20006"
"1","0","1","18","2025/06/16 14:30:00","50000","4302511","20007"
"1","0","1","18","2025/06/16 14:30:00","50000","4302512","20008"
"1","0","1","18","2025/06/16 14:30:00","50000","4302513","20009"
"1","0","1","18","2025/06/16 14:30:00","50000","4302514","20010"
"1","0","1","18","2025/06/16 14:30:00","50000","4302515","20011"
"1","0","1","18","2025/06/16 14:30:00","50000","4305511","20012"
"1","0","1","18","2025/06/16 14:30:00","50000","4305512","20013"
"1","0","1","18","2025/06/16 14:30:00","50000","4305513","20014"
"1","0","1","18","2025/06/16 14:30:00","50000","4305514","20015"
"1","0","1","18","2025/06/16 14:30:00","50000","4305515","20016"
"1","0","1","18","2025/06/16 14:30:00","50000","4301511","20017"
"1","0","1","18","2025/06/16 14:30:00","50000","4301512","20018"
"1","0","1","18","2025/06/16 14:30:00","50000","4301513","20019"
"1","0","1","18","2025/06/16 14:30:00","50000","4301514","20020"
"1","0","1","18","2025/06/16 14:30:00","50000","4301515","20021"
"1","0","1","18","2025/06/16 14:30:00","50000","4303511","20022"
"1","0","1","18","2025/06/16 14:30:00","50000","4303512","20023"
"1","0","1","18","2025/06/16 14:30:00","50000","4303513","20024"
"1","0","1","18","2025/06/16 14:30:00","50000","4303514","20025"
"1","0","1","18","2025/06/16 14:30:00","50000","4303515","20026"
"5","0","1","2","2025/06/16 14:30:00","2500","25001","20027"
"5","0","1","4","2025/06/16 14:30:00","2500","140000","20028"
"10","0","1","4","2025/06/16 14:30:00","2500","140001","20029"
"2500","0","1","2","2025/06/16 14:30:00","2500","26202","20030"
