90742d0cd8bd7059f809e4fe59bfd73b3ab0e1a3805e88be096f8408943162de,578edc88497f71fe5ffa814d2c969c884b6e2d5bc254156a5ce572b2615b61a3,c53a980ea00293b8e30e38e6ed8999482a212befec27b61882bc6ca75a46cd24,66a36baa58981aa0c50d6a9711df48953be64e4d641efd02f7f6038e98bf1f16,5a357d07589349062ec06671520bd60a71398417cdff08e3e620c078b8351215,bd5eac9390ce0f069ac706332c8c5d533e2d828a4314f58ef3b0989a456f7fff,49464642037ec47aceb19e269e9c88aad70c33cb93b3a7364f3f44165d81fc18,81c61df5f6a2ae0d1b517f9b86e1bb01fb8f8277e37bf3bda584501441f7eefa,355516a9a10a8ac047694545b12013108df6eef426ab411947fe8cfa5e333260,5644c8eb29ad55f3e7dac32e766e8d32c09cb4d36d89b39b29b56096b2d158b4,e2a19923b652734ac956e6dd114fa85fc74491a78ec74a3647a1fd63e45fbc8e,4acf6d427eba699e04d89aa33f669d6bd4095c103957d2e8f75135d3d2cedbea,89c274a52bf1d9d67ec702e304dbbc5c753e58ed662ab1c019b161bc9a93b863,3116f623e7dc5f990744757baca8e14fd6b49a836ed4f17a04fef4361b52867a
"72001001","20001102","0","1","2030/12/31 14:59:59","72001001","イベントクエスト1-1 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001101"
"72001002","20001102","0","1","2030/12/31 14:59:59","72001002","イベントクエスト1-2 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001102"
"72001003","20001102","0","1","2030/12/31 14:59:59","72001003","イベントクエスト1-3 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001103"
"72001004","20001102","0","1","2030/12/31 14:59:59","72001004","イベントクエスト1-4 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001104"
"72001005","20001102","0","1","2030/12/31 14:59:59","72001005","イベントクエスト1-5 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001105"
"72001006","20001102","0","1","2030/12/31 14:59:59","72001006","イベントクエスト1-6 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001106"
"72001007","20001102","0","1","2030/12/31 14:59:59","72001007","イベントクエスト1-7 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001107"
"72001008","20001102","0","1","2030/12/31 14:59:59","72001008","イベントクエスト1-8 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001108"
"72001009","20001102","0","1","2030/12/31 14:59:59","72001009","イベントクエスト1-9 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001109"
"72001010","20001102","0","1","2030/12/31 14:59:59","72001010","イベントクエスト1-10 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001110"
"72001011","20001102","0","1","2030/12/31 14:59:59","72001011","イベントクエスト1-11 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001111"
"72001012","20001102","0","1","2030/12/31 14:59:59","72001012","イベントクエスト1-12 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001112"
"72001013","20001102","0","1","2030/12/31 14:59:59","72001013","イベントクエスト1-13 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001113"
"72001014","20001102","0","1","2030/12/31 14:59:59","72001014","イベントクエスト1-14 (NORMAL)をクリアしよう","2018/01/01 12:00:00","9003","0","20001","8004","601","20001114"
