fed2c91e5e16dfdd1b136bf5d6b9e9af5b07c35d0f1b78dd7223846d30155ad5,3431ec9ec40e4435adad13ded768911145b91e5d7e09923e16bd620bb71195a1,82f56bf3dab12e89141668334edbbe48f93ae0f8cf6a48601d332ae4921fb066,65958a53cd674a67a26a740e89d8e7ef3c226a5c2acb5e056fd319e3acca8bb3,099cc1b4005a46cc84a8e2fac562905790fa7b4a368a154b3913f6c88589e2dd,61e2ca7fd0c9122f438ffced1872f7bf4ec60e4ea8d008688573c9928422deac,a2767c4679a7b898208aab978912bfe2977d7d8e665a52322d45b650fc563ba4,3cd7ee1612eb78be9a03103f93508713cd7d5868330559c3ebdc454d2434c3ef,3fbb0215648252e84ef2c2dda737b84edd614069017a7722d63ae51f5671a43d,28b895dbdc506f853450a8e6c5cf63d370847789a926171e530716004aa2d3ec,270585afb4f635892ab475f2602ce9098cc02b5cb8d0f629a08808d33fd06afa,d4b19f138d168aa83baea731fb9c7e093cfcb27abc02cff4039bc74c11965221,f47d62c0c90d89a275345e9108f0b8e5a3c982f1ecf89e10dbfbd87cb2e42bc6,49d116c7c7ce6475055dcb1d6f3fa98efbd983cd376eac0af582d753e12b89b9,3bcd3db2ecaa2698f3353031db77b70209d2e7263f37456e9600e165df24a113,7e22b29341ea2251c17b50c46f9daf512a4f07cf2f467784ea5131ecd1f1eb62,cd358809eed699c28a09e33eb75286808bfbd4e97bdfe949204f324351d12fec,97a2cf932f9d4ff79c43c8c77ded85d1905b818899259f02abc92595b76b03ef,fac9dd9dee5496c773c50ff0188b87ac74c69f0f6af7467deffe9369537f2496,f08b8808f209588fdbee4dc3dcb6dab7cc03a4994395267096175b43e06106e5,f2931675ad18fd7a0a0a5feaf7e830a4c7763bf0b01f03e7118432a4f45c1624,b1d83ea797b8ebc716ba4463ab834465b25fdb0508b5d22961299e68e50ce7e8,b2cb470bf99ced7d3fbdbe76cc1eb6a7c029745e47de0ad340389ecc78941a9f,c178e1233a71e1c64d44bae3c835ce62fe397fe5d299ec14ce558759895ba4b5,2f292006443e755bb2cf39998b7ba8c20822f58ea63112337ec59b50b0ec26cf
"103123","0","103121","0","0","-100","0.8","0","0","bgm_MC008","0","0","-300","1","250","bgm_MC008","-50","0","0","0","0.8","0","1.2","770330101","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","0","0","bgm_MC008","0","0","-300","1","250","bgm_MC008","-50","0","0","0","0.8","0","1.2","770330102","ボスバトルマス"
"103123","0","103121","0","0","-100","1","0","0","bgm_MC008","0","0","-350","0.95","50","bgm_MC008","-150","300","1","0","1","0","1","770330201","ボスバトルマス"
"103123","0","103121","0","0","-100","1","0","0","bgm_MC008","0","0","-350","0.95","50","bgm_MC008","-150","300","1","0","1","0","1","770330202","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","0","0","bgm_MC008","20","0","-400","1.2","100","bgm_MC008","-200","360","0.8","0","1","25","1.4","770330301","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","0","0","bgm_MC008","20","0","-400","1.2","100","bgm_MC008","-200","360","0.8","0","1","25","1.4","770330302","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","400","0","bgm_MC008","0","1","-400","0.8","0","bgm_MC008","-200","200","1","0","1","0","1","770330401","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","400","0","bgm_MC008","0","1","-400","0.8","0","bgm_MC008","-200","200","1","0","1","0","1","770330402","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","350","0","bgm_MC008","5","1.05","-400","0.7","-100","bgm_MC008","-250","50","0.8","0","0.8","-5","0.8","770330501","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","350","0","bgm_MC008","5","1.05","-400","0.7","-100","bgm_MC008","-250","50","0.8","0","0.8","-5","0.8","770330502","ボスバトルマス"
"103123","0","103121","0","0","-100","0.8","0","0","bgm_MC008","0","0","-300","1","250","bgm_MC008","-50","0","0","0","0.8","0","1.2","770330601","ボスバトルマス"
"103123","0","103121","0","0","-100","1","0","0","bgm_MC008","0","0","-350","0.95","50","bgm_MC008","-150","300","1","0","1","0","1","770330701","ボスバトルマス"
