0d25c188fae7a550903514fd37add5ea3c15d3b3ba3b2476b82d1e8188bcaeeb,652f3582c73cffae0324f4b822026768a904f5a37b4aaf2f4364b3d686142b83,d8bdd290cc6f9c28eb91432ab2602786f6669548abf8ed4ee8510ab495843b10,2b2f8e49f968c2da944ddefc125fd81dbaed8581957353beeb158f9c741f76a3,4b06e3b7e8d2b9e6cf368d80aea8acf3159623538a0281ba59e85a56c768ca00,bef4576e3de59f53eabbdf25a730db40da03baf3ace783e8bf3ea14d07bcbf2a,258c4d43f75430900300fbcd7db6982f5e7918f9030ea08f06adbd8b2dcbee8c,6c4b438ee75646bb6dc8d1b9048818479d7efeb21fdb4315fc7a15221c1168ba,6ba5dff4b5ee1655cae1aab7c65d3a10d5fec572fc48c776f0e6185646742348,23b601708cd9ef5dda1688cf4737f9184b8239a8bec040dc7efaee696a22c33a,96d48055e1291ccbeb8ab7f8ed69d8311a0c7f1255245d5f8fd639c5bb20fdb2,d3929e7d43753d74305e7a4ba9028fe9167605bb33d8ecc142b7488c5d264ef4,7acf423e1a91f510e895624d2ed1e6653b1bbfd4824b6df857752be38f31d2f4,d41241db7840dc9e7174ffc9a5cfb843f6f5b40062449b365763dbaffc805195,a62f7f95245015cf46d1a92de66a7193c9c44f7f3bcf7a3f169ea97df7434d6d,3493815c84b19492c556d1042dc09a20147721ad1b1d68ebfbe875dd387ef766,e5df5dd800ff2cd912a4b2675c0fc19b5a43fb9cbd175444940014945654fd2f,8b4256e888d0781f0751e482a252635ed33dc264c86270b7a1fcb561ec3428f2,2f33d8ecf7b50d3cf5c28455376118f1973c59d6fd7d7d6c1866befc3354b3fb,bb177dbecfc237fe062cbbfe2b75f80f1a43a16c8d359b7be454743206cfa1c5,d5d664d09f37c1c2643f3a6f070d0cd1e75283a665b9570fa7fbb4758ebeefa8
"90","901000103","0","0","2000001","0","0","0","0","51200001","901000106","100182","ラストバトル","901000105","0","0","0","512000011","901000102","0","0"
"90","901000202","bgm_M06","0","2000002","bgm_M06","bgm_M06","100022","0","51200002","0","100021","チュートリアルバトル","901000104","0","0","bgm_M06","512000021","901000201","512000022","0"
"90","901000202","bgm_M06","0","2000006","bgm_M06","bgm_M06","100022","0","51200006","0","100021","チュートリアルバトル","901000104","0","0","bgm_M06","512000021","901000201","512000022","0"
"90","901000302","bgm_M17_03_and_M29","0","2003005","0","0","0","0","52003005","0","100671","ADVバトル","901000303","0","0","bgm_M17","520030051","901000301","0","0"
"90","901000402","bgm_M06","0","2004002","0","0","0","0","52004002","0","100011","ADVバトル","901000403","0","0","bgm_M06","520040021","901000401","0","0"
"90","0","bgm_M47","0","5001004","0","0","0","0","55001004","0","81000111","ジズバトル","0","0","0","bgm_M47","550010041","901000501","0","0"
"90","901000501","bgm_M47","0","5001006","0","0","0","0","55001006","0","81000106","ジズバトル","901000502","0","0","bgm_M47","550010041","901000401","0","0"
"90","901000602","bgm_M102","0","5002005","0","0","0","0","55002005","0","81000205","アルマバトル","901000603","0","0","bgm_M102","550020051","901000601","0","0"
"90","901000602","bgm_M102","0","5002006","0","0","0","0","55002006","0","81000206","アルマバトル","901000603","0","0","bgm_M102","550020052","901000601","0","0"
"90","901000701","bgm_M109","0","5003006","0","0","0","0","55003006","901000703","81000305","ガルグバトル","901000702","0","0","bgm_M109","550030061","901000601","0","0"
"90","901000801","bgm_M116","0","5004005","0","0","0","0","55004005","901000803","100931","水着バトル","901000802","0","0","bgm_M116","550040051","901000601","0","0"
"90","901000901","bgm_M124","0","5005006","0","0","0","0","55005006","901000903","81000505","島クジラバトル","901000902","0","901000904","bgm_M124","550050061","901000906","0","0"
"90","901001001","bgm_M192","0","5011005","0","0","0","0","55011005","901001003","81001105","バレンタインボスバトル","901001002","0","0","bgm_M192","550110051","901000906","0","0"
"90","901001002","0","0","5011006","0","0","0","0","55011006","0","81001106","バレンタインボスバトル","901001003","0","0","0","550110051","901001001","0","0"
