872822339d2a05ef1fac3446527bd4acfc0ada3114f34a81652ab209c9c110fd,9aead8af8c3d8f6753aeca771c86c52ca7621616623143fb385229dd33c69677,8a1f8ddc23d797c4c02de9445c168073c76bf632a342404929ae299c19fa1b7c,eb1380ca0aaa9224a4a8d4d1a3434a1d459f982e3a4efb1fa96e88af23e0ce29,3a508dc5ce8e5a9d8af7da7884fbb58bae34c0e457800af47cbcd49340d79774,d27ef3d5ea566ba4651f8d6ed74688554cbd085511540b274f69e3e6ded509e9,d595eb42a04f2edd5b5094382db16210c15995c2cb9760a69817f9134247e3d2,672aafc62002c6ea9014f813becb102317a11683bc3984958541587674e66f56
"3","0","101","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","短時間、障害物バリアを展開！","0","2001"
"5","5","102","0","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","中時間、スピードとジャンプ小アップ！","5","3"
"4","6","103","0","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","短時間、スピード中アップ！","0","1"
"5","0","104","0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","中時間、障害物バリアを展開！","0","2001"
"6","3","105","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","中時間、スピード小アップ！","0","1"
"6","4","106","0","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","中時間、対戦相手のスピード小ダウン！","0","1001"
"5","17","107","0","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","中時間、スピードとジャンプ特大アップ！","16","3"
"40","8","108","0","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","ラウンド中、スピード中アップ！","0","1"
"4","30","109","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","短時間、スピード特大アップ！","0","1"
"40","10","110","0","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","ラウンド中、対戦相手が大きく減速！","0","1001"
"1","0","111","0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","ごく短時間、障害物バリアを展開！","0","2001"
"4","15","112","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","短時間、先頭の対戦相手が大きく減速！","0","1004"
"6","5","113","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","中時間、スピード小アップ！","0","1"
"5","5","114","0","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","中時間、ジャンプ小アップ！","0","2"
"7","0","115","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","長時間、バリアで能力ダウンを防ぐ！","0","2002"
"25","3","116","0","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","累積で、スピード小アップ！","0","1"
"25","3","117","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","累積で、対戦相手が小さく減速！","0","1001"
"7","30","118","0","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","長時間、スピードとジャンプ特大アップ！","20","3"
"4","15","119","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","短時間、先頭の対戦相手が大きく減速！","0","1004"
"7","0","120","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","長時間、バリアで能力ダウンを防ぐ！","0","2002"
"12","30","121","0","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","長時間、ジャンプ特大アップ！","0","2"
"30","15","122","0","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","累積で、先頭の対戦相手が大きく減速！","0","1004"
"4","11","123","8","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","短時間大きく加速した後、ごく短時間減速！","2","4"
"8","9","124","0","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","長時間、スピード中アップ！","0","1"
"4","0","125","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","短時間、障害物バリアを展開！","0","2001"
"30","3","126","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","累積で、対戦相手が小さく減速！","0","1001"
"10","22","127","0","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","長時間、スピード特大アップ！","0","1"
"4","30","128","0","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","短時間、ジャンプ特大アップ！","0","2"
"3","20","129","0","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","短時間、対戦相手のスピード特大ダウン！","0","1001"
"4","30","130","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","短時間、スピード特大アップ！","0","1"
