e859d55c4088a24144c20053699f0a48864e39a3a873239f1994dfd085155ad9,f8dcb9eee3e3a022d24aa06964029fc82bb0bed262f13f93183c1eadf6771c06,af1e004f1e121ccee9778046c1389581779f806a924e7e9073126244a5aa08c2,866b78c16020804de95a0a30efb1d842b707258d8e892da92db0e0bf8f182fe3,fa37d4b80e2263a85d57e051cc126f0012940e65bb78b70fc8cd1198d4efe537,87d665ce21448ad53da7e0fc7afebf6986234c1fbff6ff78692d1a5be3f8faa4,9e04753ee46bc3fa01b06a3672204f1e125d18d777385d0979d0bc359afcb7f0,99b216ffec5df52eeb18a77bd284f2cfe90334e29a5d6c6b6ca2692b5b76ddd1,01ae34a7d954343a1d03a10267df759e74aafa07311941ed299ad71625eb8743,bac05aeb0f6677a8cf2684abb199c735e7e07d1674913d25142db96cc212b8a5,1ed4ef732ff4af1921a09d934a349ba89d428426554dd762f319bc11c13261d6
"50","-622","2","0.65","5","empty","0","2","0","10001","10001001"
"51","-622","1","0.65","5","empty","0","1","0","10001","10001002"
"1","0","1","0","6","","1","2","0","10001","10001003"
"1","0","1","0","6","","1","1","0","10001","10001004"
"0","1","10001","0","31","","0","10001","","10001","10001005"
"","","0","","91","","","0","","10001","10001006"
"1","1","1","0.2","6","","1","2","0","10001","10001007"
"1","1","1","0.2","6","","1","1","0","10001","10001008"
"-472","14","0","","2","","0.3","2","0","10001","10001009"
"-472","14","0","","2","","0.3","1","0","10001","10001010"
"0","","limitedMission_congratulations","0","3","","","2","","10001","10001011"
"0","","limitedMission_congratulations","0","3","","","1","","10001","10001012"
"","","1","","32","","","10001","","10001","10001013"
"","","0","","93","","","3","","10001","10001014"
"1","0","1","0.2","6","","1","2","0","10001","10001015"
"1","0","1","0.2","6","","1","1","0","10001","10001016"
"","","0","","93","","","0.2","","10001","10001017"
