3911e28f620c28c3da8f1a902bcb18530282dfbd86c8ed9e5f23acac6c72ea5d,75b9ff33f09e083b7ce1a6054786acb50249224858065e45142b9b5ae610b26c,9b6609ae35506f188617efc7f182256e1d744bdc64e4ed754426ae45f8779293,7d0e7e5af441fdcb27a91a78d81dbbc1e028d3fe55d75c709096747fdfe7112b,1062d6d49339a30f264de412fdc6e804002c0806c6d123077227d3d344b8eacd,45b9579e8162defcf4d9bef63eaee0a050d3fd007c716648eaba71a11bf92906
"1","おまかせ","1","2020-02-15 15:00:00","","1"
"2","デフォルト","2","2020-02-15 15:00:00","","2"
"3","アニバーサリー","3","2020-02-15 15:00:00","","3"
"4","ピンク","1","2020-02-15 15:00:00","","4"
"5","レッド","1","2020-02-15 15:00:00","","5"
"6","イエロー","1","2020-02-15 15:00:00","","6"
"7","グリーン","1","2020-02-15 15:00:00","","7"
"8","ライトブルー","1","2020-02-15 15:00:00","","8"
"9","ブルー","1","2020-02-15 15:00:00","","9"
"10","パープル","1","2020-02-15 15:00:00","","10"
"11","グレー","1","2020-02-15 15:00:00","","11"
