af1f8c440a9a34d1a34cd89a321e3eb367c6492b135087f507f8e10c35f32153,6eef9fb84cd7a00c035fb4b28cc16a0b52641638fd72beee752044c7533d46f9,9f1a088b8511b8dbbb01bd33b0c47db97c50653e8e40f6ca4a43dd8dc2c3c23e,d637ecf14657832f8ef9221b174b662100899e692ea9956a159f0e9db87b6be4,08028757fcc7dd63f13c380726ace353586086b53af0b62011ef28f81c8b4509
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407010","火属性ボーナス特大アップ","1"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407010","物理防御力（ダウン不可）アップ","2"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407010","魔法防御力（ダウン不可）アップ","3"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407010","ＴＰ上昇上限付与","4"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407010","ＨＰ吸収ダウン","5"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407020","火属性ボーナス特大アップ","6"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407020","物理防御力（ダウン不可）アップ","7"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407020","魔法防御力（ダウン不可）アップ","8"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407020","ＴＰ上昇上限付与","9"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407020","ＨＰ吸収ダウン","10"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407030","火属性ボーナス特大アップ","11"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407030","物理防御力（ダウン不可）アップ","12"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407030","魔法防御力（ダウン不可）アップ","13"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407030","ＴＰ上昇上限付与","14"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407030","ＨＰ吸収ダウン","15"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407110","火属性ボーナス特大アップ","16"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407110","ダメージ減衰","17"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407110","物理防御力（ダウン不可）アップ","18"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407110","魔法防御力（ダウン不可）アップ","19"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407110","ＴＰ上昇上限付与","20"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407110","ＨＰ吸収ダウン","21"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407110","ＴＰダウンカット","22"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407120","火属性ボーナス特大アップ","23"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407120","ダメージ減衰","24"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407120","物理防御力（ダウン不可）アップ","25"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407120","魔法防御力（ダウン不可）アップ","26"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407120","ＴＰ上昇上限付与","27"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407120","ＨＰ吸収ダウン","28"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407120","ＴＰダウンカット","29"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407130","火属性ボーナス特大アップ","30"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407130","ダメージ減衰","31"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407130","物理防御力（ダウン不可）アップ","32"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407130","魔法防御力（ダウン不可）アップ","33"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407130","ＴＰ上昇上限付与","34"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407130","ＨＰ吸収ダウン","35"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407130","ＴＰダウンカット","36"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407140","火属性ボーナス特大アップ","37"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407140","ダメージ減衰","38"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407140","物理防御力（ダウン不可）アップ","39"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407140","魔法防御力（ダウン不可）アップ","40"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407140","ＴＰ上昇上限付与","41"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407140","ＨＰ吸収ダウン","42"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407140","ＴＰダウンカット","43"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407210","火属性ボーナス特大アップ","44"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407210","ダメージ減衰","45"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407210","物理防御力（ダウン不可）アップ","46"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407210","魔法防御力（ダウン不可）アップ","47"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407210","ＴＰ上昇上限付与","48"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407210","ＨＰ吸収ダウン","49"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407210","ＴＰダウンカット","50"
"energy_recover","バトル開始時、すべてのモンスターのＴＰを特大回復。","92407210","ＴＰ回復","51"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407220","火属性ボーナス特大アップ","52"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407220","ダメージ減衰","53"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407220","物理防御力（ダウン不可）アップ","54"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407220","魔法防御力（ダウン不可）アップ","55"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407220","ＴＰ上昇上限付与","56"
"9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92407220","ＨＰ吸収ダウン","57"
"boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92407220","ＴＰダウンカット","58"
"12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92407230","火属性ボーナス特大アップ","59"
"18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92407230","ダメージ減衰","60"
"boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92407230","物理防御力（ダウン不可）アップ","61"
"boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92407230","魔法防御力（ダウン不可）アップ","62"
"17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92407230","ＴＰ上昇上限付与","63"
