50110a240215b66fd98b7718d7d30395b4e6e433aa0508b987e8f73d1e7d26e6,89e9b0565193161cd35fa09f5a2f385ef92712508088265fcfbf34cecf688382,96baa616f783d12b894e79f8ee5bd571099c3df9c28c15c74eb0d84002352dae,f233dcd8c7f14d01e9171abfaf44feef15e73dcea2ce93859261fd4a12593b0f,575de6469f4ee5589c538b0b487028ca016a7f48a8542964d4daea9205b2ffcb
"300","1","135","1","1"
"-100","1","425","1","2"
"125","2","-100","1","3"
"-415","2","375","1","4"
"-50","3","25","1","5"
"-300","3","-25","1","6"
"-335","4","-195","1","7"
"-415","4","105","1","8"
"-160","5","135","1","9"
"-40","6","345","1","10"
"90","7","-230","1","11"
"-420","8","230","1","12"
"250","9","30","1","13"
"-245","10","280","1","14"
"-110","11","-150","1","15"
