15ff23ed0b44049615cb3f6475605a124875f48d01cd473c0e1b484f3da651e2,35395bfbf9684f914a359ed39384e71070ccc3e7f5d344675ddc5b88795fdd21,ba268edf83a2a704bde10924aec14ef242a0ee930e0323efdacc7e14ed9dba22,b956e6d8cb71211ad69d7500af1021efdad6ac60e1c870905fb77dcfbbbe0035,2d323ce85cb896d3598e0c4f5284395c333281af2c33d4e7763181435fce3d63,702a7cf3cd97f4164e3daa1ed0df0caf09b433b33d5ece9dc2960d53f816f9bb,3e6555ee6088321f6ea15d3909218660722b027f2e8bd4a66c53c16daa4e89ad,300b273027c345352c3976bb4e7cc52927d642721126d2db07ee82868a861a3a,10b82a7b02b814242c568ed269909a556ff33cb805b6d5d0aa1bf25478b2c145,1b981f31848b322afbcb9667265f3a85da53059d6e940317178faa899572aea4,63a25459d32b7d2c2483829223c6592ab72b9bc6b4a9a3b2bc587c9cdb96d732,56d7776bd11e712d9d9a40b9d2ccd037f9d3314c18960704644c3e6ba4f67c2d,07083d810d3ccb4ebc3e799e75b87f7485a712b77968b38e2a78d6d3b7e38bfa,819b796a0c7d3dfbe9f902135fbb8d3a3ad00f646be98542b196cdf37cc613b0,92ead37a470edf92bba01f0caa3054db2a469f0f8c6578b22f4c36c71365d1bf,fef3f6721a071fd4aa63838273df4e0e86e5216ad98bc54b2531929acc5ec73d,73cff3a51c125904a9fab849f46c123ce4fae97e46d93cc3b1e5c47c535798c9,1b22e8cbe0a3e17c7f2da524997f80546b0f958d0de872aa2e1a4592179cf935,a230b65b153cefa9861e3e33a045e2ae3979b7736429a64e89c51f4e44060c15,03b334f2e1616629eb4d7002d0b414a8e0c7b0bafc880cd5382af4741914d4a2,5deadca5fac477d2e318a788da7b98d8b73fe533578e7b1cce8bb8b158fd38d8
"100100101","1","-1","2.4","1","0","0","30","1","敵単体に{0}の物理ダメージ","30","0","0","0","1","1","物理ダメージ+{0}","3","0","0","1"
"100100102","3","-1","500","1","0","0","0","1","","50","0","0","0","1","3","","3","0","0","99"
"100100103","1","600","1.08","1","0","0","13.5","1","範囲内の敵に{0}の物理ダメージ","13.5","0","0","0","1","1","物理ダメージ+{0}","3","0","0","99"
"100100201","1","-1","1.6","1","0","0","20","1","敵単体に{0}の物理ダメージ","20","0","0","0","1","1","物理ダメージ+{0}","3","0","0","1"
"100100301","10","0","30","1","0","0","30","1","自分の物理攻撃力を{0}アップ","1","180","1","0","2","10","物理攻撃力アップ+{0}","7","0","1","1"
"100100302","1","-1","1.8","1","0","0","22.5","1","敵単体に{0}の物理ダメージ","22.5","0","0","0","1","1","物理ダメージ+{0}","3","0","0","1"
"100100303","28","2160","0","1","0","0","2","3","","1","0","0","100100304","1","701","","3","0","0","99"
"100100304","1","600","1.8","1","0","0","22.5","1","敵の数が２キャラ以上の場合、範囲内の敵に{0}の物理ダメージ","22.5","0","0","0","1","1","物理ダメージ+{0}","3","0","0","99"
"100101101","1","-1","6","1","0","0","75","1","敵単体に{0}の物理ダメージ","75","0","0","0","1","1","物理ダメージ+{0}","3","0","0","1"
"100101102","1","600","3.6","1","0","0","45","1","範囲内の敵に{0}の物理ダメージ","45","0","0","0","1","1","物理ダメージ+{0}","3","0","0","99"
"100101201","1","-1","2.4","1","0","0","30","1","敵単体に{0}の物理ダメージ","30","0","0","0","1","1","物理ダメージ+{0}","3","0","0","1"
"100101202","1","600","0.72","1","0","0","9","1","範囲内の敵に{0}の物理ダメージ","9","0","0","0","1","1","物理ダメージ+{0}","3","0","0","99"
"100102201","1","-1","3.6","1","0","0","45","1","敵単体に{0}の物理ダメージ","45","0","0","0","1","1","物理ダメージ+{0}","3","0","0","1"
"100102202","1","600","2.4","1","0","0","30","1","範囲内の敵に{0}の物理ダメージ","30","0","0","0","1","1","物理ダメージ+{0}","3","0","0","99"
"100102203","28","2160","0","1","0","0","2","3","攻撃する度にダメージ1500増加","1","0","0","100102204","1","701","","3","0","0","99"
"100102204","8","-1","18","1","0","0","0","3","敵の数が２キャラ以上の場合、以下の効果が発動する","3","0","0","0","2","2","","7","0","0","1"
"100102205","16","-1","1","1","0","0","0","3","自分の行動速度200％アップ","1000","0","0","0","2","1","","7","0","0","1"
"100102206","28","0","0","1","0","0","0","1","自分のＴＰを1000回復","0","0","0","100102207","2","1211","","7","0","0","1"
"100102207","102","-1","0","1","0","0","1500","3","","1","100","0","0","2","0","","7","0","0","1"
"100102208","45","0","0","1","0","0","0","1","","1","0","0","0","2","1","","7","0","0","1"
"100150101","90","0","15","1","0","0","15","0","自分の物理攻撃力を{0}アップ","1","1","0","0","0","2","物理攻撃力アップ+{0}","0","0","0","0"
"100151101","90","0","15","1","0","0","240","0","自分の物理攻撃力を{0}アップ","1","1","0","0","0","2","物理攻撃力アップ+{0}","0","0","0","0"
"100200101","4","2160","6","1","0","0","6","3","味方全体のＨＰを{0}回復","1","0.45","0","0","2","2","ＨＰ回復量+{0}","3","0","0","99"
"100200201","1","-1","1.2","1","0","0","15","1","敵単体に{0}の魔法ダメージ","15","0","0","0","1","2","魔法ダメージ+{0}","3","0","0","1"
"100200301","10","2160","0.23","1","0","0","0.23","3","味方全体の物理防御力を{0}アップ","1","12","1","0","2","20","物理防御力アップ+{0}","3","0","1","99"
