60358c2eba25d012668666097f5c20afc59667f8f3fe061c26d8e30c2ca17dbb,a5693aac940b9aebc48f99ad4d503c1b131f42803768752f4ea5abe85a2698d6,25ebea6af035aee34045db07beda1b0bc05bfc8c905d8a71a874449570aff9f8,abe1f9c099666ffd210c3e0a2c028c0af1c675802160be9e4a4989de0c333f10,2f1b9ed6942f4a3643f0f2f3160c3fe5d699f76b37484a06cfc306f59e5c74b5,5d6f41fe5cf103fa1053af8ccc5ba609633bdb386a7d3f0b65e9b6129eb5af64,425c981d5047a39d044ef7d1641e2c02f7d4789e693248fa4ec2d0111cce13c8,4783cc0a8879810b55f5c5977877c71c37081825bf5227a576825dfd62b2f170,57acf273560a1c603af93dede6a58affef62ce51413ad1fe1bd39b5fde05fec5,0999f17e00fd8f6735e901c43ff9eb6e7cbe22607ee8353e3edc1e4af06f1f27,8a07da794457b69c5349211b70cb58208626a298f6da584267a3c5a51eeec7c7
"10011","1001","2","0","0","pt","0","1","10011105","0","1"
"10015","1002","2","1","0","m","0","2","10015103","0","1"
"10021","1003","2","0","5021700","pt","0","3","10021108","0","1"
"10027","1004","3","0","5027700","pt","0","4","5027007","0","1"
"10040","1005","2","0","5040700","pt","0","5","10040105","0","1"
"10046","1006","1","0","0","pt","5046006","6","5046006","1","1"
"10072","1007","3","0","0","pt","5072006","7","5072006","3","1"
"10080","1008","3","0","5080700","pt","5080000","8","5080007","3","0"
"0","1009","0","0","9004201","pt","0","9","0","0","0"
"10096","1010","1","0","5096700","pt","5096007","10","5096007","3","1"
"10126","1012","2","0","0","pt","5126000","11","10126107","3","1"
"10142","1013","3","0","5142700","pt","5142000","12","5142007","1","1"
