a7830669daed40f1d2109791a60954daf5c44ff5c28df36b8015c6ed3e315381,117b43ee36574d64326be72b6febcf6bf8370e6c2deca02eeea71ab2f25ea5f1,569656b2dd9173796ced9aeea2f34804a6a4395a9cf252fcfe8c81b815bcb609,906fef9f87e88618098e9ae7c8115c19a8604b063e1e2a3064f3ef216a7343d9,ff686198cae0ba3e464046cdf5a454c280a4836a8589dc91e7a7ac2ae0cf4281,9ea5bed223fd474791dfdf89b2eb02906be6af6accfdb23fe463ed95af8e7d1c,caf7378afd7f613af26f492a9c7d41cd680b22b03bd956ed59d575b46de0d2ea
"1","0","料理入手イベント","0","1","0","3"
"2","0","ダイス入手イベント1","0","2","0","1"
"3","0","ダイス入手イベント2","0","2","0","2"
"4","3","ターン数カウントスキップ","1","3","0","0"
"5","2","マイル+100%","0","4","1","100"
"6","2","ミニゲームマイル+100%","0","5","1","100"
"7","3","ショップ割引イベント","0","6","1","300"
"8","3","ショップ割引イベント","0","6","1","300"
"98001","3","ターン数カウントスキップ1","2","3","0","0"
"98011","3","ターン数カウントスキップ1","1","3","0","0"
"98012","3","ターン数カウントスキップ2","2","3","0","0"
