7b94f528e26c7732fe35280a1594092548b9a36231402d8a052f1931cf3538b4,5748547e0d43ca1b4d325ee0e9b7f0d44132a7d140623ebba57557b5b0825b5f,a7f530fae1ab984de40eca44259fa187b12a5efe07ec8208ccf3ecde8b6419ea,85bcaa7ec86866f271df770c8d200874e7070dea0767a7eecec970e1870abd06,ed13cd69c69b72f7ad79bd1287dc6db8337672e8aa79e8ac4eb0918a903623ea,130c058e9e69e517e739b4cdca4e6f48279e165ca077cd9924c694f99ddb6a31,3648689aa5618e35df60a9873921260c4e33f31128124edf5e835e572f996a15
"107601","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72004021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20004","10"
"108001","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72005021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20005","12"
"108201","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72007021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20007","15"
"108501","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72009021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20009","17"
"108901","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72010021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20010","19"
"109001","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72011021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20011","21"
"109301","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72013021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20013","22"
"110101","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72015021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20015","23"
"110501","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72016021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20016","24"
"111201","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72018021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20018","25"
"111601","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72020021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20020","26"
"112101","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72021021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20021","27"
"112301","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72022021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20022","28"
"113001","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72025021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20025","29"
"113201","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72026021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20026","30"
