9fdd85048932cc274b2f8cdadd876a1b3c0ebb197761819b685ba90ed2c61b98,8cd0df91bf62abd4bbf757eca974bfcb26354c193d6a0f12c39b54c31e30dbc0,966fd77b996d69ad810654d17063374925eecc284f12cc7e03a462438ac82590,f798703eaedac3168046aee797124b7d0378b03b75718da4479e434f3400030e,fc5600b1428b5b036892485b433b106eb68ed2d4b47c022add7b1551edbf3694,a0a22673ad2e82598ce78d5a854a11189d5b4981028397b16ee483e78646604b,0ca91d50671b9acd67e8ad695de3b3c9cf1d7bb049995ff17fc24d69d84511a3,3cb6d3109bd32603f24fda4dcfb8473f8cd88fa830168b818a2db8fea571dbb0,74058890b5aff68ad18f6dad3d6965e612369c382a1aa72d8a63e804722bd526,71f6b4c183b4b0e398a65f4728f02832928dd04d7c99645c863987b489f8b5f9,162b9233fdfc864e2249c191e32d2e2168262865afce9082ef4f63164e080a03,72a4a74839e2a862b5279edbb2fbc85edafb519c1f02eeb0fb2f6a1d1ab2c8c5
"100101","-1","3","1","13","1","1","1","100","-1","1","1"
"100201","-1","4","1","15","1","1","1","130","-1","1","1"
"100301","-1","4","1","17","1","1","1","160","-1","1","1"
"100401","-1","4","1","19","1","1","1","180","120","1","1"
"100402","-1","4","1","19","1","1","1","180","-1","1","1"
"100501","-1","4","1","21","1","1","1","200","150","1","1"
"100502","-1","4","1","21","1","1","1","200","-1","1","1"
"100601","-1","5","1","23","1","1","1","220","180","1","1"
"100602","-1","5","1","23","1","1","1","220","-1","1","1"
"100701","-1","5","1","25","1","1","1","240","210","1","1"
"100702","-1","5","1","25","1","1","1","240","-1","1","1"
"100801","-1","5","1","27","1","1","1","260","240","1","1"
"100802","-1","5","1","27","1","1","1","260","-1","1","1"
"100901","-1","5","1","29","1","1","1","280","270","1","1"
"100902","-1","5","1","29","1","1","1","280","-1","1","1"
"101001","1","6","1","32","1","1","1","300","300","1","1"
"101002","-1","6","1","32","1","1","1","300","300","1","1"
"101003","-1","6","1","32","1","1","1","300","-1","1","1"
"101004","1","5","1","32","1","1","1","300","300","1","1"
"101005","-1","5","1","32","1","1","1","300","300","1","1"
"101006","-1","5","1","32","1","1","1","300","-1","1","1"
"101101","1","6","1","32","1","1","1","310","300","1","1"
"101102","-1","6","1","32","1","1","1","310","300","1","1"
"101103","-1","6","1","32","1","1","1","310","-1","1","1"
"101104","1","5","1","32","1","1","1","310","300","1","1"
"101105","-1","5","1","32","1","1","1","310","300","1","1"
"101106","-1","5","1","32","1","1","1","310","-1","1","1"
"101201","1","6","1","32","1","1","1","320","300","1","1"
"101202","-1","6","1","32","1","1","1","320","300","1","1"
"101203","-1","6","1","32","1","1","1","320","-1","1","1"
"101204","1","5","1","32","1","1","1","320","300","1","1"
"101205","-1","5","1","32","1","1","1","320","300","1","1"
"101206","-1","5","1","32","1","1","1","320","-1","1","1"
"101301","3","6","1","32","1","1","1","330","300","1","1"
"101302","-1","6","1","32","1","1","1","330","300","1","1"
"101303","-1","6","1","32","1","1","1","330","-1","1","1"
"101304","3","5","1","32","1","1","1","330","300","1","1"
"101305","-1","5","1","32","1","1","1","330","300","1","1"
"101306","-1","5","1","32","1","1","1","330","-1","1","1"
"101401","3","6","1","32","1","1","1","340","300","1","1"
"101402","-1","6","1","32","1","1","1","340","300","1","1"
"101403","-1","6","1","32","1","1","1","340","-1","1","1"
"101404","3","5","1","32","1","1","1","340","300","1","1"
"101405","-1","5","1","32","1","1","1","340","300","1","1"
"101406","-1","5","1","32","1","1","1","340","-1","1","1"
"101501","3","6","1","32","1","1","1","350","300","1","1"
"101502","-1","6","1","32","1","1","1","350","300","1","1"
"101503","-1","6","1","32","1","1","1","350","-1","1","1"
