b6c5bdb8fc2e5437409e9337f2d6c1de1b4a42ca198b4cd160689a7ce3b94697,e7a0fd34158844a175a6d3b9e595ed0dc76da8bbfbfe12e6ab46f342e3e18ee6,e6c5bceae322a80f3128ad72e530af68c41dedfb7e090cddfb083915cf52122c,445188301cbd9ff93d2a36f926be8459d533af4aa9f258e28318ca4c50f280e1,4c9ea53884f79de53f6f8aea9487e70e23b8e4fb4860110b4e8f6f1d9fd6e0e4,f0efb0d1bce60829f4906e3576a6d82b53ddf367874fb5f8b0a16d3939687b67,22a12d0a151dafdc9bd69b8d3b69a52b4be874538a07b569129a43ebfdfc5c94,930d6e763fd00b01e22ac54379ebb8df77b29dbece5ab07b9f3bd11e85f89184,32317e474c6e5c0b99fe12ce2520e93fda18cff1f91e3f3edead76f25f88a331,7cc9334043e61446582fb7602766e77b3bffc791d47f6026f29c259bd829d1ec,380cfe1db22563b57f006bd72e47670e9dd22052f44cfc3f65574c17f3a00c46
"72","-194","1","1","1.65","1","118511","1","1001","taq_karin_idle","100"
"0","","1","21","","","vo_minigame_1009_top_001","vo_minigame_1009","1002","","0"
"0","0","1","11","0","0","賞品も用意して\nいますので頑張って\nくださいね♪","118511","1003","0","8"
"","","1","3","0.2","","taq_karin_talk_normal","118511","1004","","1"
"","","1","91","","","","1003","1005","",""
"","","1","3","0.2","","taq_karin_idle","118511","1006","","1"
"72","-194","2","1","1.65","1","118511","1","2001","taq_karin_idle","100"
"0","","2","21","","","vo_minigame_1009_top_002","vo_minigame_1009","2002","","0"
"0","0","2","11","0","0","みなさんの知識が\n試されますよ","118511","2003","0","8"
"","","2","3","0.2","","taq_karin_talk_thinking","118511","2004","","1"
"","","2","91","","","","2003","2005","",""
"","","2","3","0.2","","taq_karin_idle","118511","2006","","1"
"72","-194","3","1","1.65","1","118511","1","3001","taq_karin_idle","100"
"0","","3","21","","","vo_minigame_1009_top_003","vo_minigame_1009","3002","","0"
"0","0","3","11","0","0","世の中にはまだまだ\n知らないことが\nたくさんあるんですね","118511","3003","0","8"
"","","3","3","0.2","","taq_karin_talk_surprise","118511","3004","","1"
"","","3","91","","","","3003","3005","",""
"","","3","3","0.2","","taq_karin_idle","118511","3006","","1"
"72","-194","4","1","1.65","1","118511","1","4001","taq_karin_idle","100"
"0","","4","21","","","vo_minigame_1009_top_004","vo_minigame_1009","4002","","0"
"0","0","4","11","0","0","わからないときは\n勘に頼ってみても\nいいと思います","118511","4003","0","8"
"","","4","3","0.2","","taq_karin_talk_normal2","118511","4004","","1"
"","","4","91","","","","4003","4005","",""
"","","4","3","0.2","","taq_karin_idle","118511","4006","","1"
"72","-194","5","1","1.65","1","118511","1","5001","taq_karin_idle","100"
"0","","5","21","","","vo_minigame_1009_top_005","vo_minigame_1009","5002","","0"
"0","0","5","11","0","0","仲よく協力して\n全問正解を\n目指してくださいね♪","118511","5003","0","7"
"","","5","3","0.2","","taq_karin_talk_joy3","118511","5004","","1"
"","","5","91","","","","5003","5005","",""
"","","5","3","0.2","","taq_karin_idle","118511","5006","","1"
