17e99290d64cc1c00131a81e45a53bcdfd1c57c98629af8e0b32362a5b30066b,10e72c0a478b23e91591eaddfe3754332a15023361136f60f9621c77604a1ffb,63e353e4b21371d755ad74543733956e8bc5460751a96ea8bf6a46b70569701c,25050853411ca0ced64628dc3bf14a200239c0624d514a073a05856acd10ebf6,652c0302fafcd23b68491f3e05f5167eadcc78b09351aa6146c5b57bd466fa14
"1025","1037","1045","1","1048"
"1003","1062","1006","2","1004"
"1003","1029","1006","3","1007"
"1047","1025","1062","4","1045"
"1043","1003","1022","5","1013"
"1006","1048","1019","6","1004"
"1062","1037","1003","7","1033"
"1056","1050","1059","8","1053"
"1001","1030","1034","9","1011"
"1063","1046","1026","10","1023"
"1020","1014","1044","11","1038"
"1017","1008","1040","12","1049"
"1023","1017","1020","13","1044"
"1017","1001","1020","14","1038"
"1030","1036","1008","15","1048"
"1044","1004","1011","16","1038"
"1043","1005","1022","17","1011"
"1046","1042","1047","18","1016"
"1014","1041","1063","19","1028"
"1052","1061","1058","20","1055"
"1025","1031","1024","21","1001"
"1024","1064","1005","22","1063"
"1040","1066","1044","23","1000"
"1000","1076","1010","24","1038"
"1003","1077","1043","25","1019"
"1070","1071","1068","26","1069"
"1092","1089","1090","27","1091"
"1098","1097","1099","28","1100"
"1102","1101","1103","29","1104"
"1106","1105","1107","30","1108"
"1012","1083","1021","31","1006"
"1087","1086","1084","32","1085"
"1094","1093","1096","33","1095"
