f431c5c906b8b86e58c5a041c7c87e54124abd2027517995c39a33baa3be68fb,4e1017f68c0e378067ed26737752476adaabbf64d5ebfda07fd1555adce684fb,4cf312d6b3e3ed23831d0ae4ac70ae43cd6f240a052e15f7f1182450e7d1ab64,77aa649528cc66f1a2b843c9bee00c5e19077bdb902af936b86d24d3d179617e,5e780fbbaea03e995f4075e95dafa8f7ff800cbe43218a6143cb6bf7a2705834,e76329a7f728fa3ae77f554fc4db41844d744e2ec44b31e60d753b67ac5127a2,aca4e5dae8c9c5024bdd4219aae19f22ee20a4701e25e60f67cb385fe9c824b8
"10004","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","107601","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","BOSS討伐で解放！\n残り{0}体","71004025","1"
"10005","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","108001","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","BOSS討伐で解放！\n残り{0}体","71005025","2"
"10007","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108201","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71007031","3"
"10009","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108501","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71009031","4"
"10010","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","108901","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71010031","5"
"10011","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109001","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71011031","6"
"10013","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109301","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71013031","7"
"10017","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","109801","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71017031","8"
"10019","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","110101","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","71019031","9"
"20004","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","107601","[3C404E]ボスNORMAL討伐で解放！","ボスNORMAL討伐で解放！","72004021","10"
