37a96f9150b8f0884510c86294f347ed9721133f0eae74e487f567b1b3f8c633,d5da5db3518dda12512f0bc0fe0ae95fd4f3f11a8f0a4e3a6133c66813b292e5,bfadc267d83a1c100818cb63cdbac45493e77a22a3a534145f8f9212834209b9,b6429870b475fc279afe4be7a80a964a48cbf4fc5ba255feebcd65550def73ca,4d36ce7e1e99b432e04be89e4068e3a7fb66c59eb108fa01190e1307ac8337d1,84842a5902375461e0faf483f231cbd4896ca786d30787e674d5631f1eb05e58,b0c90abec40f4d34c491a58577e63a24aef143fb2b11c2bce7c7036c522e8388,751648d06ef8679d101697eb25b869525a598a59af8968fc5af6304bff5951ec,e3351e38e0423ed57d220753451c2cdc647f5d5af939fdd5222cee110d4ebe70,e7ab7275a250a026f632438e0a9afa5f636f7da69ab20a1168f22089ebecd322
"1","10062103","0","0","10062","0","0","ウヅキとリンのメモリー","0","7001"
"2","10062107","0","0","10062","0","0","ニュージェネレーションズのメモリー","0","7002"
"4","10062107","0","0","10062","0","0","ウヅキとミオのメモリー","0","7003"
"6","10062111","0","0","10062","0","0","美食殿のメモリー","0","7004"
"7","10062111","0","0","10062","0","0","リンとミオのメモリー","0","7005"
"8","10062111","0","0","10062","0","0","ニュージェネレーションズのメモリー","0","7006"
"9","10062115","0","0","10062","0","0","ニュージェネレーションズと美食殿のメモリー","0","7007"
"10","10062115","0","0","10062","0","0","美食殿のメモリー","0","7008"
"14","10063111","0","0","10063","0","0","ニュージェネレーションズと美食殿のメモリー","0","7009"
"3","10062107","0","0","10062","0","0","ニュージェネレーションズのメモリー","0","7102"
"5","10062107","0","0","10062","0","0","美食殿のメモリー","0","7103"
"11","10062115","0","0","10062","0","0","ニュージェネレーションズと美食殿のメモリー","0","7104"
"12","10063111","0","0","10063","0","0","ニュージェネレーションズと美食殿のメモリー","0","7105"
"13","10063111","0","0","10063","0","0","ニュージェネレーションズと美食殿のメモリー","0","7106"
"15","10062103","1","0","10062","2405","1","","7","7201"
