d99a490cf8029e36d89b5be3ef1430e76fdfe9f5051301873c9871d9d30b8f2c,68b30c6916150f7483a3b9c41508cd26b8e1f330b6d2fa38de0cc895f3a21974,b73d7521786694b72447a1529099c3ca0caa7023b97284049509daba1a564b25,2f0574f9c04c69ebc0ef2b4a79bbb1c9eee08e9f1dda122de352bc1442bf11dd,134b3e99d9c58b527d2cd7dda98873a49e439118e1c7ca9b3cbe1f3cd0fb5297
"150000","31000101","94002","12","310001011"
"10","31000101","22003","2","310001012"
"500000","31000102","94002","12","310001021"
"10","31000102","22003","2","310001022"
"500000","31000103","94002","12","310001031"
"5","31000103","140001","4","310001032"
"5","31000103","25001","2","310001033"
"500000","31000104","94002","12","310001041"
"10","31000104","22003","2","310001042"
"500000","31000105","94002","12","310001051"
"5","31000105","140001","4","310001052"
"5","31000105","25001","2","310001053"
"500000","31000106","94002","12","310001061"
"10","31000106","22003","2","310001062"
"500000","31000107","94002","12","310001071"
"5","31000107","140001","4","310001072"
"5","31000107","25001","2","310001073"
"500000","31000108","94002","12","310001081"
"10","31000108","22003","2","310001082"
"500000","31000109","94002","12","310001091"
"5","31000109","140001","4","310001092"
"5","31000109","25001","2","310001093"
"150000","31001101","94002","12","310011011"
"5","31001101","22003","2","310011012"
"150000","31001102","94002","12","310011021"
"5","31001102","22003","2","310011022"
"150000","31001103","94002","12","310011031"
"5","31001103","22003","2","310011032"
"150000","31001111","94002","12","310011111"
"5","31001111","22003","2","310011112"
"200000","31001112","94002","12","310011121"
"5","31001112","22003","2","310011122"
"150000","31001201","94002","12","310012011"
"5","31001201","22003","2","310012012"
"150000","31001202","94002","12","310012021"
"5","31001202","22003","2","310012022"
"150000","31001203","94002","12","310012031"
"5","31001203","22003","2","310012032"
"150000","31001211","94002","12","310012111"
"5","31001211","22003","2","310012112"
"200000","31001212","94002","12","310012121"
"5","31001212","22003","2","310012122"
"150000","31001301","94002","12","310013011"
"5","31001301","22003","2","310013012"
"150000","31001302","94002","12","310013021"
"5","31001302","22003","2","310013022"
"150000","31001303","94002","12","310013031"
"5","31001303","22003","2","310013032"
"150000","31001311","94002","12","310013111"
"5","31001311","22003","2","310013112"
"200000","31001312","94002","12","310013121"
"5","31001312","22003","2","310013122"
"150000","31001401","94002","12","310014011"
"5","31001401","22003","2","310014012"
"150000","31001402","94002","12","310014021"
"5","31001402","22003","2","310014022"
"150000","31001403","94002","12","310014031"
"5","31001403","22003","2","310014032"
"150000","31001411","94002","12","310014111"
"5","31001411","22003","2","310014112"
"200000","31001412","94002","12","310014121"
"5","31001412","22003","2","310014122"
"150000","31002101","94002","12","310021011"
"5","31002101","22003","2","310021012"
"150000","31002102","94002","12","310021021"
"5","31002102","22003","2","310021022"
"150000","31002103","94002","12","310021031"
"5","31002103","22003","2","310021032"
"50","31002104","91002","8","310021041"
"150000","31002111","94002","12","310021111"
"5","31002111","22003","2","310021112"
"200000","31002112","94002","12","310021121"
"5","31002112","22003","2","310021122"
"100","31002113","91002","8","310021131"
"150000","31003101","94002","12","310031011"
"5","31003101","22003","2","310031012"
"150000","31003102","94002","12","310031021"
"5","31003102","22003","2","310031022"
"150000","31003103","94002","12","310031031"
"5","31003103","22003","2","310031032"
"50","31003104","91002","8","310031041"
"150000","31003111","94002","12","310031111"
"5","31003111","22003","2","310031112"
"200000","31003112","94002","12","310031121"
"5","31003112","22003","2","310031122"
"100","31003113","91002","8","310031131"
"150000","31003201","94002","12","310032011"
"5","31003201","22003","2","310032012"
"150000","31003202","94002","12","310032021"
"5","31003202","22003","2","310032022"
"150000","31003203","94002","12","310032031"
"5","31003203","22003","2","310032032"
"50","31003204","91002","8","310032041"
"150000","31003211","94002","12","310032111"
"5","31003211","22003","2","310032112"
"200000","31003212","94002","12","310032121"
"5","31003212","22003","2","310032122"
"100","31003213","91002","8","310032131"
