23bbaee2a48c5f35edda03c75ca9d03df08488427aa46164aef2ebbdd7658aca,413ec5d3febd12f02ed384f372354eacd9d6b29217a6816f14cb4479de3aa8a4,bdd6f4336033229916f96747354fcabf3ed87fff41b31e06794e2924339ce9f3,130cdbfbf4f6dcbf7ec90a7f685522c85fcb8c728a54cdb9df6d78f7bc677abd,9776ac63c2ccfd3950879b8da1afe9310d5aedca5865b13b126696bdd23aadc9
"91002","8","100","1","30109001"
"20002","2","10","2","30109001"
"91002","8","100","3","30109002"
"94002","12","40000","4","30109002"
"91002","8","300","5","30109003"
"91002","8","500","6","30109004"
"91002","8","500","7","30109005"
"94002","12","1000000","8","30109005"
"91002","8","500","9","30109006"
"94002","12","500000","10","30109006"
"91002","8","600","11","30110001"
"94002","12","200000","12","30110006"
