2dbd49999bf6f1dc44e6b00a1c9a042a9c0af2c5635c9e7dc1c10658e1c6aefd,b68c922bba2482610573f56750d50553293ef0ecad9be62bbf696c53d1062867,e665783d21c67d2064afdcccacb9d422dd394029afa680e67e113874f93a7f9e
"物理","icon_unit_sort_physics","1"
"魔法","icon_unit_sort_magic","2"
"アタッカー","icon_unit_role_001","100"
"ブレイカー","icon_unit_role_002","101"
"バッファー","icon_unit_role_003","102"
"デバッファー","icon_unit_role_004","103"
"ブースター","icon_unit_role_005","104"
"ヒーラー","icon_unit_role_006","105"
"タンク","icon_unit_role_007","106"
"ジャマー","icon_unit_role_008","107"
"単体","icon_unit_sort_single_attack","200"
"範囲","icon_unit_sort_range_attack","201"
"継続ダメージ","icon_unit_sort_slip_attack","203"
"物攻ダウン","icon_status_13","301"
"魔攻ダウン","icon_status_15","302"
"物防ダウン","icon_status_14","311"
"魔防ダウン","icon_status_16","312"
"速度ダウン","icon_status_22","321"
"ＴＰ上昇ダウン","icon_status_19","331"
"ＴＰダウン","icon_status_19","332"
"物理無効","icon_status_24","401"
"魔法無効","icon_status_25","402"
"物理吸収","icon_status_26","403"
"魔法吸収","icon_status_27","404"
"物理魔法無効","icon_status_28","405"
"物理魔法吸収","icon_status_29","406"
"物攻アップ","icon_status_01","501"
"魔攻アップ","icon_status_03","502"
"物防アップ","icon_status_02","511"
"魔防アップ","icon_status_04","512"
"速度アップ","icon_status_09","521"
"加算速度アップ","icon_status_152","522"
"物クリアップ","icon_status_06","531"
"魔クリアップ","icon_status_06","532"
"物クリダメアップ","icon_status_67","533"
"魔クリダメアップ","icon_status_69","534"
"ＴＰ上昇アップ","icon_status_07","541"
"前衛","common_unit_icon_front","700"
"中衛","common_unit_icon_middle","701"
"後衛","common_unit_icon_back","702"
"ＨＰ回復","icon_status_08","800"
"ＴＰ回復","icon_status_07","801"
"継続ＨＰ回復","icon_status_08","802"
"継続ＴＰ回復","icon_status_07","803"
"行動不能","icon_status_43","901"
"魅了・混乱","icon_status_36","902"
"挑発","icon_status_37","903"
"飛行","icon_status_132","904"
"調和","icon_status_203","905"
"ダメージカット","icon_status_75","906"
"行動不能無効","icon_status_129","907"
"タンク","","10001"
"前衛","","10002"
"中衛","","10003"
"後衛","","10004"
"物理攻撃","","10005"
"魔法攻撃","","10006"
"範囲攻撃","","10007"
"継続ダメージ","","10008"
"物防ダウン","","10009"
"魔防ダウン","","10010"
"物攻ダウン","","10011"
"魔攻ダウン","","10012"
"物防アップ","","10013"
"魔防アップ","","10014"
"TPダウン","","10015"
"回復","","10016"
"バリア","","10017"
"挑発","","10018"
"行動不能","","10019"
"召喚","","10020"
