9caa73d87e73fa0b551d89aaf082addc44a5ebee7c2e9657e30a627f3904fc23,5a3692f75b0e2596bfeb01b7b072d86575880cbfcb6de3e1810aea659b44e63e,781ab9b3b8a272f7bb2a93f79a79400cf358214e167c75503eb640835c5a4684,304a678d46d0de92befc78e12aac50d9f0878d0dcda8f9155e027782831509d4,2977f61789f34ff04eb3b1e3960f15c7b3bb579dcf8190aaa5656a73a8f118f7,722bcbeb78d5f237cb22c1afbc95c4b79c68c1f675856fa796b9264f726dd175,016c610a403212371f4de00b184143a5bac94867c8c0f4a0027576019930a36e,dfedb713ca44f101826b0b390c87210e5cf5392a0eb72dc55d78d28b72b3395f,858d521751b8da0d033b65ef7f870c51b908034b20a6e044bd60a6b585a96a84,abd48153a79b4eaded4b35d5f90c2e1b1946138eef07dffd6d73b48d367bc61a
"10000","0","1","0","0","1","0","302","2018/01/01 15:00:00","2018/02/28 14:59:59"
"10001","0","1","0","0","1","0","302","2018/02/28 15:00:00","2018/03/15 14:59:59"
"10002","0","1","0","0","1","0","302","2018/03/15 15:00:00","2018/03/31 14:59:59"
"10003","0","1","0","0","1","0","302","2018/03/31 15:00:00","2018/04/16 14:59:59"
"10004","0","1","0","0","1","0","302","2018/04/16 15:00:00","2018/04/30 11:59:59"
"10005","0","1","0","0","1","0","302","2018/04/30 12:00:00","2018/05/15 14:59:59"
"10006","0","2","0","0","1","0","302","2018/05/15 15:00:00","2018/05/31 11:59:59"
"10007","0","2","0","0","1","0","302","2018/05/31 12:00:00","2018/06/15 14:59:59"
"10008","0","1","0","0","1","0","302","2018/06/15 15:00:00","2018/06/30 11:59:59"
"10009","0","1","0","0","1","0","302","2018/06/30 12:00:00","2018/07/17 14:59:59"
"10010","0","1","0","0","1","0","302","2018/07/17 15:00:00","2018/07/31 11:59:59"
"10011","0","1","0","0","1","0","302","2018/07/31 12:00:00","2018/08/21 14:59:59"
"10012","0","2","0","0","1","0","302","2018/08/21 15:00:00","2018/08/31 11:59:59"
"10013","0","2","0","0","1","0","302","2018/08/31 12:00:00","2018/09/18 14:59:59"
"10014","0","1","0","0","1","0","302","2018/09/18 15:00:00","2018/09/30 11:59:59"
"10015","0","1","0","0","1","0","302","2018/09/30 12:00:00","2018/10/18 14:59:59"
"10016","0","1","0","0","1","0","302","2018/10/18 15:00:00","2018/10/31 11:59:59"
"10017","0","1","0","0","1","0","302","2018/11/03 19:00:00","2018/11/19 14:59:59"
"10018","0","1","0","0","1","0","302","2018/11/19 15:00:00","2018/11/30 11:59:59"
"10019","0","1","0","0","1","0","302","2018/11/30 12:00:00","2018/12/19 14:59:59"
"10020","0","1","0","0","1","0","302","2018/12/19 15:00:00","2018/12/31 11:59:59"
"10021","0","1","0","0","1","0","302","2019/01/03 19:00:00","2019/01/18 14:59:59"
"10022","0","1","0","0","1","0","302","2019/01/18 15:00:00","2019/01/31 11:59:59"
"10023","0","1","0","0","1","0","302","2019/01/31 12:00:00","2019/02/15 22:59:59"
"10024","0","1","0","0","1","0","302","2019/02/28 12:00:00","2019/03/19 14:59:59"
"10025","0","1","0","0","1","0","302","2019/03/19 15:00:00","2019/03/26 14:59:59"
"10026","0","1","0","0","1","0","302","2019/03/26 15:00:00","2019/03/31 11:59:59"
"10027","0","1","0","0","1","0","302","2019/03/31 12:00:00","2019/04/19 14:59:59"
"10028","0","1","0","0","1","0","302","2019/04/19 15:00:00","2019/04/30 11:59:59"
"10029","0","1","0","0","1","0","302","2019/05/07 15:00:00","2019/05/14 14:59:59"
"10030","0","1","0","0","1","0","302","2019/05/14 15:00:00","2019/05/17 14:59:59"
"10031","0","1","0","0","1","0","302","2019/05/17 15:00:00","2019/05/31 11:59:59"
"10032","0","1","0","0","1","0","302","2019/05/31 12:00:00","2019/06/15 11:59:59"
"10033","0","1","0","0","1","0","302","2019/06/15 12:00:00","2019/06/18 14:59:59"
"10034","0","1","0","0","1","0","302","2019/06/18 15:00:00","2019/06/30 11:59:59"
"10035","0","1","0","0","1","0","302","2019/06/30 12:00:00","2019/07/13 11:59:59"
"10036","0","1","90001","0","1","0","302","2020/07/27 12:00:00","2020/07/31 11:59:59"
"10037","0","1","0","0","1","0","302","2019/07/18 15:00:00","2019/07/31 11:59:59"
"10038","0","1","0","0","1","0","302","2019/07/31 12:00:00","2019/08/10 11:59:59"
"10039","0","1","90002","0","1","0","302","2020/08/26 12:00:00","2020/08/31 11:59:59"
"10040","0","1","0","0","1","0","302","2019/08/15 15:00:00","2019/08/26 11:59:59"
"10041","0","1","0","0","1","0","302","2019/08/26 12:00:00","2019/08/31 11:59:59"
"10042","0","4","0","0","1","0","302","2019/09/03 21:00:00","2019/09/12 11:59:59"
"10043","0","4","90003","0","1","0","302","2019/09/12 12:00:00","2019/09/16 14:59:59"
"10044","0","4","0","0","1","0","302","2019/09/16 15:00:00","2019/09/29 11:59:59"
"10045","0","4","0","0","1","0","302","2019/09/30 12:00:00","2019/10/11 11:59:59"
"10046","0","4","90004","0","1","0","302","2019/10/11 12:00:00","2019/10/16 14:59:59"
"10047","0","4","0","0","1","0","302","2019/10/16 15:00:00","2019/10/31 11:59:59"
