564fb0a49f836c321d7d560bf300402c3fd7db531ffc6770ebdf93f7861cc9e3,a20d94dcadbe0e9dfbd3c399d9b9c90b7d19bddabb26b1668b5bfab9f745d51e,138fbc76472cf6d3f90a61187d1cb6189c19f45bf411f7a6f6b11c6e4cc935c1,4d6e11e0baec58710d6c9b4cec89d331951f7a5c296e4b29c02e3386dac3354b,e6748c2490a61464834c64552d01e4b54d3a945aebff955544d2553685c31dc7,2d0aba6b54c85d116593ef32a6969df5c8cbc5462bea5a5642ba3f7813470ab5,68b35450118287e9dda3a4ca4e5f27680eec49dc1169d9acf62108cef2e969f8
"1","3","2","105","105","1","105"
"2","3","2","120","105","1","120"
"3","3","2","120","100","1","100"
"4","3","2","120","105","1","120"
"5","3","2","120","105","1","105"
"6","3","2","105","100","1","100"
"7","3","2","105","120","1","100"
"8","3","2","105","100","1","100"
"9","3","2","120","105","1","120"
"10","3","2","105","120","1","100"
"11","3","2","100","100","1","105"
"12","3","2","120","105","1","120"
"13","3","2","105","105","1","105"
"14","3","2","105","105","1","120"
"15","3","2","120","120","1","120"
"16","3","2","100","100","1","100"
"17","3","2","120","120","1","105"
"18","3","2","105","120","1","120"
"19","3","2","100","105","1","105"
"20","3","2","105","100","1","105"
"21","3","2","100","100","1","105"
"22","3","2","120","120","1","120"
"23","3","2","100","105","1","100"
"24","3","2","120","120","1","120"
"25","3","2","120","105","1","105"
"26","3","2","100","100","1","100"
"27","3","2","100","100","1","100"
"28","3","2","100","100","1","100"
"29","3","2","120","120","1","120"
"30","3","2","105","105","1","120"
