f9fe6f65622c27a054e7c5090319075f77ad89f150c2385dc736d20a5bd47787,f9a8f84c84820032b61da8d14f52be20c31f4b6e4b2b08ee0c31be0f207a6fcf,7e811b1d270d61ca401933c6b0fe791f29d661f01900cbd29c1935195bb59493,7c626110436d508609b5eae7cee94239da2b7cf2daa20fd6dcf65adb3af81b7e,e3180d1c0b8f33e4227dbb6b616862889fe64b9b87bcb75f203e3f74bd70a90c,d87b6afff47cd0c627f76f6e4e3f912bc6ec1022e613a06a61c1b524a69f7f1c
"1","20025","0","1101","1","0"
"1","20025","0","1102","1","0"
"1","20025","5042002","1103","0","1"
"1","20025","0","1104","1","0"
"1","20025","5042003","1105","0","1"
"1","20025","0","1106","1","0"
"1","20025","5042005","1107","0","2"
"2","20025","5042007","1201","0","1"
"2","20025","5042007","1202","0","2"
"2","20025","0","1203","1","0"
"2","20025","0","1204","1","0"
"1","20025","0","1301","0","0"
