aeb87c595a896908933adaf9c90fb430bfee18e2985f0ac4eeab49585bed56bb,0d679a427759be983fea3e92e302ca1d782784ef7f042a3c88c7656e51c3c500,02891e527fb503663e3ccff2085f7e8951015a499926a30a59cc887954aa46a8,e900b7973459bab95931b85b163b756d1490f5a3b9fe5dfa9e8b1fe10a8b6db9,c105f229e0c26ad9c80ee287ab8f52af410d8094c2eac3d9d38025cef2146307,c9d48122e644149417d0ae256256c8c57c59b70e161543a4e4dfb9af9455a86c
"1","","おまかせ","1","1","2020-02-15 15:00:00"
"2","","デフォルト","2","2","2020-02-15 15:00:00"
"3","","アニバーサリー","3","3","2020-02-15 15:00:00"
"4","","ピンク","4","1","2020-02-15 15:00:00"
"5","","レッド","5","1","2020-02-15 15:00:00"
"6","","イエロー","6","1","2020-02-15 15:00:00"
"7","","グリーン","7","1","2020-02-15 15:00:00"
"8","","ライトブルー","8","1","2020-02-15 15:00:00"
"9","","ブルー","9","1","2020-02-15 15:00:00"
"10","","パープル","10","1","2020-02-15 15:00:00"
"11","","グレー","11","1","2020-02-15 15:00:00"
