2a906d68d8f51a9e48aaaec86742386386989be87ab51994b7997047e450558a,a3617bca3947cb5350468d699c17f614ff20ae5aac033e1693bbd3421ff57f73,ba5f2e778a7137e03241f418d3fcd91a8bea8d404fc5739aa1d79e32fcd8e583,5a15c682f1a210ac2f9853924b66e8f0df357db2e6e94c172cc1e00403082dcb,69f73654cd014e4eca46bc1ed7cb9360359cf78e882b628a1b878e18d8736a55,d71e76b0be5e136ae145f2a650aa41148d7bc1fd47bbe3028bb430518d94ba44,37efae0eb479c662a2df9a70d7197c7062680fb60e3703f47740ed4343caceb9
"1","0","3","0","料理入手イベント","0","1"
"2","0","1","0","ダイス入手イベント1","0","2"
"3","0","2","0","ダイス入手イベント2","0","2"
"4","1","0","0","ターン数カウントスキップ","3","3"
"5","0","100","1","マイル+100%","2","4"
"6","0","100","1","ミニゲームマイル+100%","2","5"
"7","0","300","1","ショップ割引イベント","3","6"
"8","0","300","1","ショップ割引イベント","3","6"
"98001","2","0","0","ターン数カウントスキップ1","3","3"
"98011","1","0","0","ターン数カウントスキップ1","3","3"
"98012","2","0","0","ターン数カウントスキップ2","3","3"
