8138470bd2bc8b94ea576b4b5b8956c7037a578e615bf5ccdf39dc43a1e57982,b046b42e79af30b1ac890b0e6db64406c11734bf7c662f443199251659e2dfbc,4b815a139ff662b26c3dd883d9a92ca26f985e87508c6a19deee42a70353f590,53e80298602a890284c362d2723fe4c50f4cc6ee70554c79d7b01858911de8f7,d76195ff22a4429f9b9328f32655682773b7026b61683b06db4d55d75e4e153a,428403c91cb766d08fd71ce9f98f49bf67b0a4cd90ae0d133efb14b8f2c9e559,a70b3d1ff1de9b3edda86abe07992ae636399e1bd0856b417f161cd23be7d545,718855db89d3605503b0cacc4f2cca07a98632d1eb2d815f620d4d76674d0aa7,b2ee3d3819f0bf9fbcce21d393870318640480666297b229d078ecc5a18b98f4,5201b0c25f50eb536129bd41d58aa36dd1899748e61b6ff52f05ff96fbdc1aa0,b82ba325b6102917b906d6373250b03bdace5cf56e8e4fab81ca2d2475dafd40,a9a4344c35cc4ef4866d6a949474f33c7970b9ae1bcf8edbb1a84d6d35995b3e,b1f9e04014a18ba2eae100e892966a7ff6c884cb9ed7d1eac904945e47c2d064,369be61efbf2079e3e7bfee96976a2e0557682bb39e3b9e6d8303311d772cbab,ba5580e89bf068afee06fcf81045ce1345f5a7456efbf4c6282473a3e3c2dbcb
"101691001","0","0","0","0","0","101691011","0","0","0","0","0","1","0","110690103"
"101701001","0","0","0","0","0","101701011","0","0","0","0","0","1","0","110700103"
"101711001","0","0","0","0","0","101711011","0","0","0","0","0","1","0","110710103"
"102311001","0","0","0","0","0","610132504","0","0","16","61013201","0","1","0","610132007"
"102311002","0","0","0","0","0","610132504","0","0","16","61013201","0","1","0","610132008"
"102311003","0","0","0","0","0","610132504","0","0","16","61013201","0","1","0","610132009"
"102312001","0","0","0","0","0","610134504","0","0","16","61013401","0","1","0","610134007"
"102312002","0","0","0","0","0","610134504","0","0","16","61013401","0","1","0","610134008"
"102312003","0","0","0","0","0","610134504","0","0","16","61013401","0","1","0","610134009"
"102401001","0","0","0","0","0","610136404","0","0","16","61013601","0","1","0","610136004"
"102401002","0","0","0","0","0","610136405","0","0","16","61013601","0","1","0","610136005"
"102401003","0","0","0","0","0","610136406","0","0","16","61013601","0","1","0","610136006"
"102401004","0","0","0","0","0","610136504","0","0","16","61013601","0","1","0","610136007"
"102401005","0","0","0","0","0","610136505","0","0","16","61013601","0","1","0","610136008"
"102401006","0","0","0","0","0","610136506","0","0","16","61013601","0","1","0","610136009"
"102401007","0","0","0","0","0","610137504","0","0","16","61013601","0","1","0","610137007"
"102401008","0","0","0","0","0","610137504","0","0","16","61013601","0","1","0","610137008"
"102401009","0","0","0","0","0","610137504","0","0","16","61013601","0","1","0","610137009"
"102402001","0","0","0","0","0","610140504","0","0","16","61014001","0","1","0","610140007"
"102402002","0","0","0","0","0","610140504","0","0","16","61014001","0","1","0","610140008"
"102402003","0","0","0","0","0","610140504","0","0","16","61014001","0","1","0","610140009"
