8f8c55bac9c47cb84280b21277597befaaf7a6244e0542c7eb8d59b58bf97763,c270e7661585e78f489b9ec2028ebb259b11c574e9cc195bb728370c6cfb3b41,917b197169f16826b942493a94aca9c8d09f84c63fbbd48ebc924a059bcd07f1,ebdc0fa5a00f59b1582b42a89646ac31e29d57e731ee6f91066242cf4161f3c2
"1004601","1004601","1","5046601"
"1004801","1004801","1","5048007"
"1004802","1004802","2","1004801"
"1005601","1005601","1","5056601"
"1006101","1006101","1","5061601"
"1006102","1006102","3","5061602"
"1006103","1006103","1","5061601"
"1006601","1006601","4","5027704"
"1007001","1007001","5","0"
"1007301","1007301","1","5046601"
"1007501","1007501","1","5048007"
"1007502","1007502","2","1004801"
"1008201","1008201","6","0"
"1008301","1008301","1","5056601"
"1008901","1008901","1","5061601"
"1008902","1008902","3","5061602"
"1008903","1008903","1","5061601"
"1009201","1009201","3","5092601"
"1010001","1010001","3","5100601"
"1010201","1010201","3","5100601"
"1010901","1010901","6","0"
"1011901","1011901","3","5092601"
"1012701","1012701","3","5100601"
"2003201","2003201","1","5056601"
