b67086b89144bbca58a787871555864a57a7d7ded744f14faa2f5c55ed03f7ef,760f717c27d21d14c3fe4e93f8000afb2f84dde69c4212123185d4fb47f3613a,da91d9b09722cd06625b02f1e2decb31dd2fb6378fb2d46cf36f0bf0c5d0cfb2,ef7ee13772e1fff34aa2a4616c4a7bfaccb8fc22e2e68bd2063f1d73a79dd633,17d0a6d6887d843788b1e99e28f40f2f87d7a70968859c6e192f65aa7b7f56c8
"135","1","1","300","1"
"425","1","2","-100","1"
"-100","2","3","125","1"
"375","2","4","-415","1"
"25","3","5","-50","1"
"-25","3","6","-300","1"
"-195","4","7","-335","1"
"105","4","8","-415","1"
"135","5","9","-160","1"
"345","6","10","-40","1"
"-230","7","11","90","1"
"230","8","12","-420","1"
"30","9","13","250","1"
"280","10","14","-245","1"
"-150","11","15","-110","1"
