2b8a30ae96a91af0699000ebc411ab22733ea52ca1ae3b4e6c3997b18d59d9de,e044aca4b2c397e695d6e914a89633178ebeb0f754ab3476abd62df235562ab8,eecb3039f5bfaf66fc79b609a6767d5825e6f1b792e23d714780f99f2f5b1b90,05450ad7f8fd859139e776ef1eafd2a21bb334ff6908a5d3c7fbea23bb9e5e09,dc417f437d37754c9ddf3b68d373d28ade23427b73856ec3e189d9d07a312ac6,0913717bf594da9bd35418a5c576a8b81203ca43ff7bb8d4fb2ed2858130f095,63c5ee41de0bf241213acfc3f2b6fac8257dadbf95e87d729cc1705ffd61ab53,c1a4d4139977eac1707151c543807b52c11569e61069d99835a0f15e6c4a063a,c2530c195e1183a713a88eec1d72c4995ffb3faa0dc4b4ed8147cc782faa699e,ab7e913459f3fe2c0c694c1de82ebb79d95710cc16175bd6d98ee70800705f6f,b0e69b11534fadf76ba5b3debb22729aff77de07836eb0c33f790026a57ef3ef,fe032950b1c4f560f4a03faf72efe311f0eaf081d5eebe8505454f63d24c9428,5cf181bc4eb147f926a49a70541acbbc244a45549058391c9a44c6939a0105ad,4a3ead5ea0763a94d428d2e3f112940cac166d257ca49efa1d1966a98c45f126,3021d06ff59c328d98b5be74fdf28f9faa1a7a2079b7cbac37bf7d3777109619,4470b3b57e00d0dd7074e20fba48f5f1e6d3106a5cd63b0120a76093fd4f426e,055c70082c8f1887789e7fde7160baf4ada51ef3203bc2745737db44585620f8,1ec0e2c22e9ea384d72147fd5482eef3f8af68e44ee1e46f01d4e5ba74baaade,77005c2bc413a27d2b01cfd190a5ea613e4d1a2766a5cfc65e55baadef78c65f
"90","2","0","610010401","0","10010","0","1.5","0","0","0","0","5","","610010004","0","0","1","5010321"
"90","3","0","610010402","0","10010","0","1.5","0","0","108","0","5","","610010005","0","0","2","5010322"
"90","1","0","0","0","10010","0","1.5","0","0","0","0","5","","610010006","0","0","3","0"
"90","1","0","0","70","10011","0","1.5","0","5011321","0","0","5","","610011004","0","0","1","5011322"
"90","1","0","0","40","10011","0","1.5","0","0","0","0","5","","610011005","0","0","2","5011323"
"90","1","0","0","0","10011","0","1.5","0","0","0","0","5","","610011006","0","0","3","0"
"90","2","0","610012401","0","10012","3","1.5","600","0","0","0","5","","610012004","1","0","1","5012321"
"90","1","0","0","51","10012","0","1.5","0","0","0","0","5","","610012005","1","0","2","5012322"
"90","1","0","0","0","10012","0","1.5","0","0","0","0","5","","610012006","1","0","3","0"
"90","2","0","610013401","0","10013","3","1.5","600","0","0","50","5","","610013004","1","0.9","1","5013321"
"90","1","0","0","50","10013","0","1.5","0","0","0","84","5","","610013005","0","1","2","5013322"
"90","1","0","0","0","10013","0","1.5","0","0","0","84","5","","610013006","0","1","3","0"
"90","2","0","610015401","0","10015","3","1.5","600","0","0","1","5","","610015004","1","0.9","1","5015321"
"90","1","0","0","50","10015","0","1.5","0","0","0","-50","5","","610015005","1","1.3","2","5015322"
"90","1","0","0","0","10015","0","1.5","0","0","0","-50","5","","610015006","1","1.3","3","0"
"90","2","0","610017401","0","10017","3","1.5","600","0","0","50","5","","610017004","1","0.9","1","5017321"
"90","1","0","0","50","10017","0","1.5","0","0","0","84","5","","610017005","1","1","2","5017322"
