f1aba6ff28b7faff8eaffafb8ed8f7f696e5c780e19ea49b277761cb61ee446e,5c80effa9828003b4263d5f5ef4851bf14a9f264deb8987dfb8ec8525784d452,9254a2e11c0ead4b985a694bf877a86167d122c43f4c79c202a2b60391a6c05b
"20114","180701","118301"
"20115","180701","118301"
"20116","180701","118401"
"20117","180701","118401"
"20118","180701","118401"
"20123","180801","120501"
"20124","180801","120401"
"20125","180801","120601"
"20126","180801","120401"
"20127","180801","120501"
"20128","180801","120601"
"30157","180801","120601"
"20129","180901","121801"
"20130","180901","121801"
"20131","180901","121701"
"20132","180901","121801"
"20133","180901","121701"
"20134","180901","121701"
"20135","180901","121701"
"20148","181001","124301"
"20149","181001","124301"
"20150","181001","124401"
"20151","181001","124401"
"20167","181101","128101"
"20168","181101","128101"
"20169","181101","128101"
"20170","181101","128101"
"20171","181101","128201"
"20172","181101","128201"
"20175","181101","128101"
