5d2c9e594cd28ad47195491f56aeac673666e1c09f39f620d5dcbd1df42d8c8b,b1a896a3dfde57001c011d1a6f24ddfa08ffb83151f14f8c82acaaa0a1c7430b,6e542c33cb8f4877fefe72098b3a0e07d2b04e6ffecd11368fce1652bec7d65c,474d5af6765d0325a2ade752055427578d4501b88543d2056abf900f8e700a6f,cce0386c804fb09c8896965a90b70e7541b728090a2ff6a68cf391666f9279d9,12ed17884427469d9ff7ce201af2d4c8aa2378ae175991dd662b75062257779b
"2","1","0","100","200",""
"300","2","2","101","200",""
"100207","200","7","200","201",""
"100206","201","6","200","100900",""
"302","300","0","300","301",""
"100301","301","0","301","302",""
"303","302","1","200","100910",""
"100201","303","2","200","100910",""
"0","100201","0","0","0","201"
"0","100206","0","0","0","206"
"0","100207","0","0","0","207"
"0","100301","0","0","0","301"
"0","100900","0","300","0","1"
"0","100901","0","0","0","1"
"0","100910","0","0","0","1,2000"
