cf912bad49690987769a0934af483c14e2a6e53289a906440a9fb8fd5b00d22b,811d6f64e32a15947f249c7bd185908a448be46e349e841f1e5df28dae11bca7,a0d21ced7dbd61b42f34721c383069004c35606399e1fefb59f91ab754b39778,87e28da3e5038d4dc762f5fc63487d880c4eb2a31b1e84991ba7bac83c5c4288,4144da616c0d201fdc0f29c0d7803c4b3fe7279453a2d4f77cb98b38b1e6bedb,4417af11fbcf485892f12d941841907a93a68a9873fb02007c8b861bb100d2e2,a1752c9e0b5af951dd60f502dc5def7b70d9a26ea5a1cf0e2d38989c21e6dd45
"107601","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20004","10","72004021"
"108001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20005","12","72005021"
"108201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20007","15","72007021"
"108501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20009","17","72009021"
"108901","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20010","19","72010021"
"109001","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20011","21","72011021"
"109301","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20013","22","72013021"
"110101","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20015","23","72015021"
"110501","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20016","24","72016021"
"111201","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","20018","25","72018021"
