98f53ffc31a92b58fb7e000558327886ab2e89ccfc27e731722bc3e9950a3e60,8d90f162e95be57c7f65395f8bbbaf75ee5f0316e3345a853e2e04002cdb2082,42e0ad0a8f5d5a44fefbd538863e4cbaa0e5168230a28335406c7dfadf641b10,5f50c6bd44f294e08d10a284c0365dd2aa529a0b744998e5b9b545310faa6393,e29e91c9bf75a8ee8ebce52f088e86bcfbc9ee623d0f697f80bcfa539f74fd7a,8180db02824643dbb28fe0cae8816589283c389123e23e08deed87f81c49ded7,358ef7039604989e108ccedb6e6cff16d3770d76a6102c966c494c101923385b,8caece1b8b824e793bb4cad1de513107e5918b822ce20fdbad09525a3fdbde24,7a67a08f86a11e6bbff3630ca56301ee4fcd99d4aa9824670b372f44705ebc69,8b2f499a7dd52797d1374c9d1b666f29745ecbb5bca4c7a83baaef6474cef0a6
"0","10174","1","0","ウヅキとリンのメモリー","7001","0","10174101","0","0"
"0","10174","2","0","ニュージェネレーションズのメモリー","7002","0","10174103","0","0"
"0","10174","4","0","ウヅキとミオのメモリー","7003","0","10174103","0","0"
"0","10174","6","0","美食殿のメモリー","7004","0","10174105","0","0"
"0","10174","7","0","リンとミオのメモリー","7005","0","10174105","0","0"
"0","10174","8","0","ニュージェネレーションズのメモリー","7006","0","10174105","0","0"
"0","10174","9","0","ニュージェネレーションズと美食殿のメモリー","7007","0","10174107","0","0"
"0","10174","10","0","美食殿のメモリー","7008","0","10174107","0","0"
"0","10175","14","0","ニュージェネレーションズと美食殿のメモリー","7009","0","10175105","0","0"
"0","10174","3","0","ニュージェネレーションズのメモリー","7102","0","10174103","0","0"
"0","10174","5","0","美食殿のメモリー","7103","0","10174103","0","0"
"0","10174","11","0","ニュージェネレーションズと美食殿のメモリー","7104","0","10174107","0","0"
"0","10175","12","0","ニュージェネレーションズと美食殿のメモリー","7105","0","10175105","0","0"
"0","10175","13","0","ニュージェネレーションズと美食殿のメモリー","7106","0","10175105","0","0"
"2405","10174","15","7","","7201","1","10174101","0","1"
