44c4c9ed35ba083984ae7c60615759c5acc494a28c17992d1b57dc6a428665c8,dc6fde7738b1b693193acb242663776811c9bac40f1a7f2b9a5bf0d72e694672,741521e9122c3b9e55b25c993bad74a57588c8860f3e5bb3f31e9480c69094c7
"101","1","1"
"103","2","1"
"105","3","1"
"101","4","2"
"102","5","2"
"103","6","2"
"105","7","2"
"101","8","3"
"102","9","3"
"103","10","3"
"101","11","4"
"103","12","4"
"104","13","4"
"105","14","4"
"103","15","5"
"104","16","5"
"105","17","5"
"102","18","6"
"104","19","6"
"106","20","6"
"101","21","7"
"102","22","7"
"106","23","7"
"102","24","8"
"103","25","8"
"106","26","8"
"103","27","9"
"104","28","9"
"105","29","9"
"101","30","10"
"103","31","10"
"105","32","10"
"107","33","11"
"108","34","11"
