dc759c5e236f60075123d6ee5b43eaa10aec27ebf5838cf456214896e95e797f,9005cb319a608a6e382c891454beb8422dd22c553c2a3a454408bc6dd346e399,e05238411750f5328c32db2ab414461c9e03359aec82cde34b037bf4db7b001a,d2447f9d7b4bfad752059935bd7b6e9ff8de2fda816c656484281a9d51868c1b
"1","8","1","スロウ"
"2","8","2","ヘイスト"
"3","8","3","麻痺"
"4","8","4","凍結"
"5","8","5","束縛"
"6","8","6","睡眠"
"7","8","7","スタン"
"8","8","8","石化"
"9","8","9","拘留"
"0","9","10","拘留(ダメージ)"
"1","9","11","毒"
"2","9","12","火傷"
"3","9","13","呪い"
"0","11","14","魅了"
"-1","12","15","暗闇"
"-1","13","16","沈黙"
"-1","30","17","即死"
"-1","3","18","ノックバック"
"1","11","19","混乱"
"4","9","20","猛毒"
"-1","56","21","千里眼"
"-1","59","22","回復阻害"
"-1","61","23","恐慌"
"-1","60","24","刻印付与"
"-1","62","25","畏怖"
"-1","69","26","トナカイ化"
"10","8","27","気絶"
"5","9","28","呪詛"
"-1","70","29","ＨＰ変化"
"11","8","30","時間停止"
"-1","76","31","ＨＰ回復量減少"
"-1","78","32","弱体被ダメージ上昇"
"1","79","33","行動時毒ダメージ"
"14","8","34","スタン（別枠）"
"7","9","35","毒（別枠）"
"8","9","36","呪い（別枠）"
"2","11","37","混乱（別枠）"
"13","8","38","結晶化"
"1","83","39","スロウ(加算可能)"
"2","83","40","ヘイスト(加算可能)"
"3","49","41","バフ消去"
"10","49","42","バリア消去"
"9","9","43","黒炎"
"2","99","44","ヘイストフィールド"
"1","99","45","スロウフィールド"
"20","49","46","バフ消去（指定）"
"5","101","47","殴り刻印（攻撃ヒット）"
"10","79","48","行動時界雷ダメージ"
"9","112","49","状態異常時間延長"
"1","116","50","執着状態"
"15","117","51","アラクネ拘束"
"3","11","52","操糸"
