13c2165e8938854d272346352ddcc796eaef58d025c09e30668cff7a3c0a3bcb,434849ae866f0af54d28608f2ea03e8bb5bb6f9dc65dfc273ca94c30bd8f399f,ed1bc886e1dbfccd78da93e57710d85f6d839c2c8f985bb5b6b172b030af722c,66700cfcec0f6fd58ab58f692b36d4e97dd2fc95a2e6576d80e55728c9d84654,8101e33ad167479784018437ef3dff82ef55c324957dee918491b2d010b3355f,29f5a7acd9fe8f40f3bd2118de9da02091e9acb9f5fd5d01a678c03b97bc2aee,809885a92c81c017c954b607f6d3cad0b436d06fe00b75c3405dcd3062688ed3,9bcca0aefe469628c209672a80250c872228dd87dbd45c696a18a8f0745f1006,6fd4fa5214362be228a0ecec8ba3b93b51193fff5d74e2c14d35cbb675841a74,8e0339dbc94bde6f10d808f600b392809b2dabf0926adf307b0aea638012c8da,610386ff3923676bd9b6fd9b63485f397b270735ec6f81fd0ff22457b3ef4397,acedead0824f64e2cccf0c7dc29a168f1c70df75a530d57eed7090064ad1ecfc,371f2236ea92e91afea391e68bffa98058736d892360c8641ed26f9f34af6e5b,01ce2f0ae3e7caf6d664057b696c29122409af9798b1ed3228905714030739de
"1001","-1","1","30","1","4","6","1","1","1","30","7","1","1"
"1002","-1","1","60","1","31","6","1","1","1","60","11","1","1"
"1003","-1","1","90","1","61","6","1","1","1","90","15","1","1"
"1004","-1","1","120","1","91","6","1","1","1","120","19","1","1"
"1005","-1","1","150","1","121","6","1","1","1","150","23","1","1"
"1006","-1","1","180","1","151","6","1","1","1","180","27","1","1"
"1007","-1","1","210","1","181","6","1","1","1","210","29","1","1"
"1008","-1","1","240","1","211","6","1","1","1","240","31","1","1"
"1009","-1","1","270","1","241","6","1","1","1","270","31","1","1"
"1010","-1","1","300","1","271","6","1","1","1","300","31","1","1"
"1011","-1","1","-1","1","301","6","1","1","1","310","31","1","1"
"1101","-1","1","30","2","4","5","1","1","1","30","7","1","1"
"1102","-1","1","60","2","31","5","1","1","1","60","11","1","1"
"1103","-1","1","90","2","61","5","1","1","1","90","15","1","1"
"1104","-1","1","120","2","91","5","1","1","1","120","19","1","1"
"1105","-1","1","150","2","121","5","1","1","1","150","23","1","1"
"1106","-1","1","180","2","151","5","1","1","1","180","27","1","1"
"1107","-1","1","210","2","181","5","1","1","1","210","29","1","1"
"1108","-1","1","240","2","211","5","1","1","1","240","31","1","1"
"1109","-1","1","270","2","241","5","1","1","1","270","31","1","1"
"1110","-1","1","300","2","271","5","1","1","1","300","31","1","1"
"1111","-1","1","-1","2","301","5","1","1","1","310","31","1","1"
