ccef220ed454888b39cb93d8e4291bce55c798f58e7d00928b13c93f4ec7b301,9ac7580bd3d8c9ff6c19d8a71d55c0be46c261703d950019ce04f645829ceecd,65ae5c7abf51b30c8923bb9d7b7ad98d951604bb35fd0dd2d9ecdb3bc1cd21b3,2ae0958b811fbafc0eee6f2fe45a1293cc47b0457d5d0bb1187d5906e2ada992,71a9610b0c3351103e5d38d65be53bb493e8d84e82749d57874a544e2051cafa,0270843ed7ca038befcf3baf3095b749f32c53da40e0c007312ecd61fbcb0922,018b7717e133e12471daec4d8d1c3d998c026a5db0b4004cb602f450e17f0bfc,b38e9c855ea57afd4c7475321eaf265a4ec553709f04d1fc906178d9d44d2351,ef772f34cecf6dddbc24b1a7d2851d758d8b24173b68d3acccc3128de8ffb0d2,04ce446b70a08f36f85e5e39633773571c94a88b68452d0a280a93374e7a02d7,ae7d632976d6083b7f54c530d68a333d9a56a13c0e0c546602e3aa88fba039bb,89e716f9e70128cce8026b8b72aeae7b28d9c8a86e0c7e7958da753e8a1218c6,6db2a975322b91d948e180c3caf28b05b391ae091523733f08018fd4a1e53e34,86a06e94949c48af600fbaf8a11699419c3b7bbb6aabcbd63c856a5a6a243065,269d513bea3982d00e59c4be27f60bd2ab87ff599aead51b16082e4564672e25
"100","-1","bgm_MC043","10010001","1","1","-1","bgm_MC043","96001","16","2023/09/15 14:59:59","-1","8","2023/06/30 12:00:00","2023/09/22 14:59:59"
"100","-1","bgm_MC043","10020001","1","2","-1","bgm_MC043","96002","16","2023/12/15 14:59:59","-1","8","2023/09/15 15:00:00","2023/12/22 14:59:59"
"100","-1","bgm_MC103","10030001","2","3","-1","bgm_MC103","96003","16","2024/03/15 14:59:59","-1","8","2023/12/15 15:00:00","2024/03/22 14:59:59"
"100","-1","bgm_MC103","10040363","2","4","-1","bgm_MC103","96004","16","2024/06/15 14:59:59","-1","8","2024/03/15 15:00:00","2024/06/22 14:59:59"
"500","-1","bgm_MC103","10050001","2","5","-1","bgm_MC103","96005","16","2024/09/15 14:59:59","-1","10","2024/06/15 15:00:00","2024/09/22 14:59:59"
"500","-1","bgm_MC103","10060001","2","6","-1","bgm_MC103","96006","16","2024/12/15 14:59:59","-1","10","2024/09/15 15:00:00","2024/12/22 14:59:59"
"1000","5","bgm_MC211","10070363","3","7","15","bgm_MC211","96007","16","2025/03/15 14:59:59","15","10","2024/12/15 15:00:00","2025/03/22 14:59:59"
"1000","5","bgm_MC211","10080001","3","8","15","bgm_MC211","96008","16","2025/06/16 14:59:59","15","10","2025/03/15 15:00:00","2025/06/23 14:59:59"
"1000","5","bgm_MC211","10090001","3","9","15","bgm_MC211","96009","16","2025/09/16 14:59:59","15","10","2025/06/16 15:00:00","2025/09/23 14:59:59"
"1000","5","bgm_MC043","10100363","1","10","15","bgm_MC043","96010","16","2025/12/15 14:59:59","15","10","2025/09/16 15:00:00","2025/12/22 14:59:59"
