6eced616ca03dc21a9a11db80c40716d8f4fe197c9cbf1d42181676b5ecab929,2c61339b15437a6ffa20827cef48c878dafdeb13e9b79427a0ff6fd9486dd7e0,c337bb23f2122d4ae8dcd5c946729d7ab0018391a5f4447990752b8ec407ed3d,7ac5f2deae4e3fead7a75bc4d29e2f06bf669c64d814c44c2f8f83fba53e764a,7f7879104adbc9c48be551ecb2fab0014b2d94ebd9624187efe99f90bf0d6b0f,bc99dd1a9a081c24c70a8906e1c22634894826177420140caadd59bcaac3b1f7,ff82e1ca789d0221be86c7377c2f785ffaa612e12ef846a2c1362f1c5a0c9237,71c04ff04a6554a39c81be5173bfa6bf7dfb65fcdc07137a9bf331bfa859ed65,a64b8580fc6bafd985b981df7d81fc2be5e3c72dce523b800a5e22bcc6610d56,ed746b3ad9971452a7d2bf3cb4ad70b123634b7d1e6391d23b0f33439a550ee6,566bcb36332676368d290cd9b27fa3c29a5570be55ef01615c62c45d3ae25e22
"0","二人だけの時間","20070115","5128071","0","8","91002","25","10128","0","2"
"0","新居の必須条件","0","5128072","5128071","8","91002","25","10128","0","2"
"0","本当は誰よりも","0","5128073","5128072","8","91002","25","10128","0","2"
"0","家族で大切に\nしたいこと","0","5128074","5128073","8","91002","25","10128","0","2"
"0","誓いの言葉","0","5128075","5128074","8","91002","50","10128","0","2"
"0","血の婚約報告","20070115","5128081","0","8","91002","25","10128","0","3"
"0","風来人の家探し","0","5128082","5128081","8","91002","25","10128","0","3"
"0","愛おしい時間","0","5128083","5128082","8","91002","25","10128","0","3"
"0","トーゴクの\n家族文化","0","5128084","5128083","8","91002","25","10128","0","3"
"0","飾らない愛を","0","5128085","5128084","8","91002","50","10128","0","3"
"5128085","口約束は災いのもと","0","5128091","5128075","0","0","0","10128","0","4"
"0","譲れない家庭の味","0","5128092","5128091","0","0","0","10128","11001271","4"
"0","夢の語り部に誘われて","20070115","5128161","0","0","0","0","10128","0","1"
